Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Saudi Arabia,278,139,9829,11197,2002,2003,2008,2007,750,845,816,837,67,102,90,99,22,37,27,26,1108.5,85707,87352,7272592,19975418,23197267,26160,84387,99256
United Arab Emirates,202,107,9669,12592,2006,2005,2007,2007,1689,1991,1694,1689,152,235,174,179,31,111,73,80,1475.0,113871,116057,9646306,23538551,27540190,47754,142391,168310
Yemen,162,64,532,771,2006,2003,2006,2006,159,315,245,250,36,90,144,149,50,88,47,45,209.6,15958,16264,1040191,2818786,3464857,6421,20373,25634
Oman,110,77,3725,5097,2004,2005,2005,2006,1013,1426,969,1016,116,177,126,135,29,54,44,49,627.9,48492,49423,3407272,9500467,10886235,30975,105115,124801
Egypt,86,73,3409,4438,2001,2002,2009,2008,1288,1283,1287,1288,140,196,151,167,24,118,78,87,368.2,28413,28959,2465812,6976019,8440637,28672,106006,130263
Singapore,72,53,20171,22349,2011,2009,2013,2013,3774,3846,3794,3811,222,315,251,266,26,60,37,43,1890.2,146371,149182,11517746,32271877,37732663,159969,548745,643386
India,65,32,5023,6346,2007,2006,2007,2007,1797,2125,1917,1922,119,211,170,180,12,75,65,78,704.6,54499,55545,4273190,11252000,12826832,65741,201833,240197
Sudan,62,50,2037,2163,2004,2003,2006,2006,736,876,838,846,188,309,293,334,16,101,38,46,329.1,25370,25857,1653534,4528480,5192403,26670,83137,96815
Turkey,54,47,2802,4453,2006,2005,2007,2006,2196,2163,2186,2191,232,329,364,374,88,170,198,205,360.4,27803,28337,2077613,5159985,6841823,38474,145447,180489
Jordan,52,39,4830,5258,2012,2011,2014,2014,1242,1257,1253,1258,93,122,111,116,28,34,41,42,370.8,28719,29271,2717456,7690403,9009489,52259,182344,213978
Spain,49,16,11263,13117,2007,2006,2007,2007,3347,3436,3344,3347,253,293,252,254,15,170,40,52,1150.3,89100,90811,10245789,24515602,27110125,209098,562411,636648
Sri Lanka,38,36,4566,4776,2003,2004,2005,2004,2242,2342,2309,2298,155,188,173,176,44,49,47,52,558.7,43245,44075,3455526,9957771,11312314,90935,292158,339825
South Africa,33,32,3653,6112,2008,2008,2008,2008,3870,3946,3928,3918,373,428,431,427,73,172,187,194,354.5,27397,27923,2455642,5458587,7043031,74413,267962,322659
Somalia,32,23,171,255,1994,1992,1995,1995,175,690,496,501,32,134,222,225,42,76,46,43,58.6,4450,4536,206398,636755,817379,6450,25570,32491
Kuwait,31,23,2225,3647,2009,2007,2010,2009,2152,2129,2222,2229,202,215,229,230,59,73,75,77,365.2,28285,28828,1872312,5307229,6352053,60397,217149,266180
United Kingdom of Great Britain and Northern Ireland,18,15,5509,2071,2010,2010,2010,2010,4572,4575,4581,4582,294,298,299,299,10,14,13,13,341.8,26442,26950,2097099,9245956,10707759,116505,442837,476590
Malaysia,18,15,1493,1773,2011,2010,2011,2011,3720,3740,3817,3797,370,365,366,381,37,76,82,91,167.7,12905,13153,934099,3167525,4304596,51894,251078,327005
Eritrea,17,9,171,223,2002,2002,2006,2005,522,586,704,697,47,81,134,136,16,63,25,24,29.6,2270,2313,143728,544681,676479,8455,40010,51313
Israel,16,14,509,751,2007,2007,2008,2008,1231,1265,1284,1281,108,133,138,143,12,27,31,34,61.8,4779,4871,403091,1005224,1289403,25193,90487,109099
Kenya,16,14,1372,2036,2003,2003,2006,2006,2324,2502,2455,2491,178,237,222,226,10,21,17,18,159.3,12320,12557,1370640,3632874,4110553,85665,255073,305882
China,11,8,1650,1317,2012,2012,2012,2013,5331,4584,3967,2820,428,967,469,512,62,65,65,92,187.6,14488,14766,721749,2853631,3715595,65614,315067,395930
Gibraltar,8,8,829,1480,2007,2007,2008,2008,3313,3358,3338,3336,483,609,605,597,50,272,277,268,85.2,6590,6716,546741,1178720,1506637,68343,230124,274965
Greece,7,7,259,428,2003,2003,2003,2003,2030,2013,2033,2034,210,310,373,378,32,87,145,149,33.8,2607,2657,232963,549617,765790,33280,120000,152543
Russian Federation,6,5,408,692,2012,2011,2011,2011,2696,2726,2730,2730,274,453,490,491,97,333,365,370,51.3,3972,4048,300583,669112,911052,50097,183502,223108
