Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,560,164,54953,63121,2006,2005,2009,2009,988,1521,1707,1690,108,123,172,172,20,30,27,27,6063.9,469464,478478,41851557,111842844,125973675,74735,228622,264165
Bulk carrier,259,202,16539,28401,2006,2006,2007,2007,2168,2475,2408,2412,282,332,453,454,45,150,186,187,1731.7,134010,136583,11675421,25472357,33377965,45079,160062,192218
General cargo,212,103,5200,6799,1996,1999,2008,2008,1321,1840,2172,2160,184,318,390,388,50,97,153,153,864.1,66157,67428,3617470,12258005,17831190,17064,88253,119723
Chemical tanker,141,86,4714,7534,2006,2007,2008,2008,1636,1768,1758,1756,182,200,233,234,33,36,40,40,834.7,64388,65625,3042604,13904764,16269927,21579,113441,137736
Oil tanker,117,80,8209,14396,2004,2005,2006,2006,1634,1962,2101,2119,193,244,312,315,39,80,72,70,1239.5,95839,97679,9327738,17836674,20960737,79724,207079,255041
Vehicle,77,62,13204,4684,2009,2009,2010,2010,2355,2459,2810,2913,158,161,271,275,10,14,14,14,796.8,61677,62861,4743109,20912027,24218258,61599,234137,251983
Service - tug,74,10,33,26,2009,2005,2006,2005,182,1734,329,326,48,294,284,245,79,224,230,222,49.4,3712,3783,656887,1553341,2079839,8877,22922,30948
Ro-Ro,55,15,2663,2292,2011,2006,2014,2014,759,1148,1070,1069,76,99,100,100,29,55,39,39,296.7,22968,23409,2483120,4763510,5382577,45148,106166,113214
Liquefied gas tanker,16,12,516,596,2011,2011,2009,2009,1281,1710,1741,1765,124,328,320,320,20,56,40,39,87.0,6670,6798,273022,1152784,1111158,17064,111070,156739
Miscellaneous - fishing,7,6,52,35,1986,1983,1977,1978,10433,11723,11971,10469,968,1437,1881,1861,16,238,267,284,53.0,3980,4056,245091,543659,618085,35013,82401,97682
Service - other,4,3,19,12,1994,1986,2012,2010,1049,1184,1077,1107,283,487,236,268,16,742,47,37,14.1,1059,1079,84752,173893,187380,21188,47147,53236
Ferry-pax only,3,2,3,0,1993,2000,2017,2015,153,1076,1568,1057,14,60,104,99,62,48,11,15,0.5,39,40,17041,34705,43718,5680,13209,17414
Ferry-RoPax,1,1,2,1,2018,2018,2018,2018,2031,2031,2031,2031,284,284,284,284,8,8,8,8,0.9,67,68,51426,111257,147922,51426,114809,163610
