Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Ferry-RoPax,2772,44,30843,6171,1997,1996,1998,2000,241,908,379,379,13,109,75,67,11,43,32,31,7786.1,598710,610206,38678574,95521935,117297156,13953,29799,27311
General cargo,2258,695,1888,2604,2001,2004,2005,2005,120,253,244,241,17,33,81,80,25,48,52,53,682.8,51655,52647,5066635,14824236,21038484,2244,8164,11148
Chemical tanker,1728,377,3904,5949,2007,2007,2008,2008,187,256,278,277,25,42,80,80,22,32,44,45,1886.6,143485,146240,6311939,20083445,24481839,3653,13206,16283
Service - other,1620,65,1601,2056,2006,2003,2006,2006,182,732,427,406,22,174,400,378,8,57,347,328,1049.0,78889,80404,14349905,29442856,31726460,8858,19710,22256
Service - tug,1487,76,317,274,2001,2002,1995,1992,154,280,375,401,52,145,459,417,25,68,284,286,788.1,59221,60358,7011552,16580209,22200004,4715,12176,16439
Container,858,191,18285,20848,2004,2006,2005,2005,318,637,662,650,29,45,90,88,15,19,17,17,2535.6,194525,198260,17964085,47262377,52373440,20937,59690,68241
Miscellaneous - fishing,480,72,135,78,2000,1998,1997,1996,286,726,639,622,39,125,480,376,23,82,116,117,259.0,19446,19820,546682,1212645,1378655,1139,2680,3177
Cruise,473,102,3448,374,1997,1998,2004,2002,144,184,200,196,15,21,63,52,10,13,30,25,1051.2,80948,82502,1371176,7456429,9316992,2899,13863,16009
Bulk carrier,438,206,2069,3527,2003,2007,2009,2009,158,255,271,271,18,37,84,85,56,95,111,113,309.1,23586,24039,1375533,3536543,4665273,3140,12579,15735
Oil tanker,285,59,1603,2808,2013,2010,2012,2011,163,366,354,368,28,62,103,106,24,33,33,33,549.4,41760,42562,1897517,3385513,3747978,6658,17877,22009
Liquefied gas tanker,259,54,2198,1881,2010,2007,2013,2013,290,578,889,791,39,69,269,250,23,46,174,170,479.9,33970,34622,732336,3525030,3264840,2828,19709,28477
Ro-Ro,103,16,649,330,2009,2004,2008,2007,167,851,831,1046,29,66,100,156,26,96,367,400,254.4,19277,19647,551044,2655572,1600341,5350,12819,16019
Vehicle,97,34,499,171,2007,2006,2005,2005,85,142,127,131,12,28,23,22,11,31,35,34,58.2,4457,4543,173121,763276,883951,1785,6784,7301
Ferry-pax only,52,11,42,7,1977,1972,1999,1991,204,1561,2124,1490,34,389,2924,3582,31,71,193,295,71.6,5378,5481,539213,1098157,1383338,10369,24114,31790
Refrigerated bulk,4,4,3,4,1996,1996,1995,1995,52,84,76,78,6,8,11,11,9,16,14,14,3.3,249,254,11042,24127,27176,2760,5882,6351
