Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Marseille,980,69,9908,2440,2000,2003,2001,2002,244,332,327,356,13,112,51,60,10,52,11,13,2343.3,180243,183703,14350040,35950094,44141674,14643,31907,29540
Le Havre,739,237,15982,18234,2004,2006,2005,2006,431,730,1015,986,39,82,105,105,18,42,22,23,2357.8,180876,184349,16964299,42686075,47422592,22956,63329,72609
Cabourg,565,422,404,611,2006,2006,2007,2007,73,81,82,82,8,14,18,17,39,54,60,62,199.2,15078,15368,532617,1614997,2205430,943,3716,4878
Montoir,540,139,1389,1699,2004,2005,2005,2005,182,324,370,374,26,45,191,225,17,34,73,65,348.9,26509,27018,3995662,9760053,11030387,7399,19888,23490
Ajaccio,443,38,3573,695,1997,2000,1996,1996,190,323,300,303,13,25,37,34,11,25,56,63,961.7,73821,75239,4244175,10618964,13095551,9581,21316,20590
Donges,417,62,620,872,2006,2007,2009,2009,139,336,269,267,31,46,43,42,20,29,32,33,283.3,21486,21899,1172276,3040392,3594135,2811,8929,10905
Bastia,388,35,3468,721,1996,1993,1999,2001,226,279,344,340,13,25,30,27,11,19,27,28,952.3,73215,74621,4312370,10703573,13197459,11114,24193,22664
La Pallice,367,173,976,1238,2005,2005,2007,2008,180,359,322,324,22,65,58,58,15,36,46,41,284.8,21689,22105,1713090,4637971,5647913,4668,14448,17584
Toulon,333,21,4074,722,1995,1999,1996,1999,305,748,493,572,14,67,75,101,8,79,56,134,1082.6,83347,84947,4776150,11637812,14561785,14343,32414,33755
Brest,327,120,1004,1026,2007,2004,2004,2004,305,389,306,313,30,55,55,48,16,52,36,31,320.5,24238,24704,2094282,5738467,6525176,6405,18335,21967
Macinaggio,300,23,3966,981,2003,1997,2002,2004,287,384,435,408,13,33,20,25,11,20,61,50,961.7,73988,75409,5785174,14352621,17672310,19284,42139,39717
Nice,295,43,2139,377,1990,1991,1995,1996,161,267,427,436,13,51,93,87,10,45,19,20,656.7,50509,51479,1957152,4934632,6123299,6634,15011,14534
Lavera,284,58,374,525,2006,2007,2008,2008,243,515,338,323,44,93,174,186,28,34,42,39,379.5,28818,29372,916034,2433748,3047755,3225,10582,13516
Dunkerque Ouest,272,107,2224,2315,2007,2007,2011,2010,176,427,312,253,26,95,228,178,16,54,185,222,442.8,31858,32470,3065679,8284411,9073665,11271,33310,40514
Grand Couronne,251,94,472,797,2004,2008,2010,2010,81,341,307,337,11,40,56,57,17,49,78,82,102.8,7802,7952,723686,2013642,2568072,2883,9789,12514
Gonfreville L'Orcher,243,68,304,311,2004,2005,2006,2007,176,334,308,340,72,87,116,120,22,41,65,44,200.8,15136,15427,624219,1681023,2077116,2569,8482,10777
L'Ile Rousse,190,19,1541,285,1993,1995,1994,1994,182,448,390,386,13,26,27,28,11,22,54,55,421.5,32355,32976,1670589,4132792,5103074,8793,19221,18176
Bouteville,182,122,495,741,2008,2007,2009,2009,151,284,233,245,11,26,38,38,23,44,91,102,146.7,11234,11449,505724,1662105,2005897,2779,11261,14147
Sete,181,89,604,512,2004,2004,2006,2007,130,427,251,432,14,62,70,120,22,70,83,128,188.9,14379,14655,711051,2095314,2588732,3928,13014,15607
St Nazaire,174,62,489,177,2003,2006,2014,2006,134,398,664,391,31,104,353,166,25,46,41,90,238.4,18237,18587,583325,1845659,2087036,3352,10260,12897
Port De Bouc,168,47,152,205,2002,2003,2004,2005,267,374,266,295,102,98,216,206,13,49,49,38,190.3,14383,14659,523693,1260335,1634444,3117,9410,12349
Lorient,165,72,212,235,2005,2004,2006,2007,162,352,218,183,22,61,72,50,14,56,44,56,110.6,8396,8557,531914,1321962,1551154,3224,8943,10616
Porto Vecchio,160,18,1189,243,1996,1995,1996,1995,248,1241,285,293,15,97,19,33,9,49,27,37,355.3,27220,27742,1515944,3740196,4602752,9475,20565,19383
Dunkerque Est,154,88,408,616,2005,2004,2009,2009,236,442,420,448,36,89,124,121,36,59,69,55,136.7,10311,10509,750829,2015498,2611563,4876,16160,20535
Fos Sur Mer,149,82,1189,1681,2006,2006,2010,2010,269,783,577,811,27,105,164,181,26,54,45,47,246.1,18442,18796,1260141,3617508,4537691,8457,30755,39541
Boulogne-Sur-Mer,138,42,43,38,2003,2000,1995,1994,235,502,474,406,40,84,175,165,13,77,423,442,66.9,5022,5118,496105,1160306,1504997,3595,9193,12079
Les Sables D Olonne,138,45,63,95,2003,2005,2003,2004,181,246,191,191,22,37,39,40,6,33,30,31,42.4,3199,3261,484476,1119742,1343700,3511,8930,10992
Nantes,115,36,103,126,2005,2001,2004,2006,177,292,238,227,19,43,44,45,9,34,22,23,37.9,2863,2918,549497,1254876,1477209,4778,12264,14780
Locmiquelic,108,6,47,66,2008,2008,2009,2009,139,131,163,163,13,13,20,21,1,8,12,12,26.7,2007,2045,461463,947202,1022532,4273,9508,10757
La Seyne-Sur-Mer,106,31,290,87,1997,1998,1995,1999,180,264,363,261,24,150,63,80,26,60,41,81,118.6,9037,9210,646282,1470022,1769301,6097,14177,15706
Rouen,101,58,257,251,2002,2001,2003,2010,101,218,252,304,21,47,59,73,18,40,65,106,64.5,4902,4996,275131,948328,1223023,2724,10149,12664
Rogerville,92,50,32,46,2004,2004,2004,2004,102,140,117,113,32,50,51,46,20,36,41,34,38.7,2908,2964,197941,471670,578350,2152,5787,7177
Saint Malo,91,62,161,87,2000,2000,2003,2002,205,280,253,282,29,36,33,48,20,53,30,48,65.3,4940,5035,322874,983776,1263609,3548,11429,14333
Saint Louis Du Rhone,90,30,85,94,1993,1999,2005,2005,121,378,142,144,20,40,46,45,13,56,58,54,27.2,2070,2110,122092,340603,449688,1357,4424,5846
Bayonne,87,77,227,329,2005,2005,2006,2006,303,444,453,441,52,67,84,83,31,45,44,44,79.0,6009,6125,454558,1259793,1683373,5225,18280,23904
Le Verdon-Sur-Mer,85,43,329,192,2004,2003,2007,2007,158,1364,648,389,18,180,2688,936,14,64,279,121,136.0,10273,10471,766481,1834784,2184899,9017,22934,26330
Port De Goulee,81,64,310,371,2006,2006,2005,2008,248,410,386,381,16,34,51,49,13,77,51,53,101.9,7773,7922,366823,1272847,1495907,4529,16984,21146
Port Jerome,73,42,74,101,2006,2006,2009,2009,76,182,168,161,37,75,114,94,21,31,125,117,61.4,4628,4716,252162,620851,718651,3454,9602,11546
Saint Ceols,71,24,524,456,2010,2007,2012,2012,106,874,1358,895,14,92,250,203,18,216,565,532,85.3,6059,6176,341557,1239833,1194239,4811,20262,28096
Honfleur,69,55,162,172,2002,2002,2002,2005,171,356,281,446,15,52,225,287,25,44,59,79,57.5,4340,4423,855623,1984066,2305380,12400,31604,37247
Bordeaux,68,18,149,130,2003,2004,2003,2003,189,441,193,196,16,44,43,48,7,33,23,26,45.3,3466,3533,307472,997082,1063877,4522,12793,15308
Dieppedalle,65,51,292,490,2007,2006,2011,2011,157,374,462,475,26,50,66,65,27,56,113,120,61.1,4647,4736,278128,840529,1029829,4279,16068,20161
Dieppe,64,33,27,37,2005,2002,2002,2001,179,304,215,219,26,48,106,117,27,78,44,35,27.0,2029,2068,196883,431678,503792,3076,7568,9099
Pauillac,62,40,195,233,2007,2006,2008,2009,249,336,320,329,30,35,129,119,24,40,36,42,76.4,5817,5929,410803,1129365,1260546,6626,19296,23306
La Bouille,61,14,20,27,2008,2008,2007,2007,79,161,129,136,20,55,66,70,9,16,31,32,9.0,673,686,136359,297757,341922,2235,5422,6427
Val-De-La-Haye,61,45,78,119,2008,2007,2008,2008,137,276,170,169,22,41,60,59,25,66,48,48,34.8,2625,2675,205262,584213,771687,3365,11376,14854
Cherbourg,59,30,64,11,2007,2005,2005,2005,176,240,102,141,37,177,48,150,11,68,60,317,43.3,3250,3313,127395,339168,450610,2159,6022,7879
Pont-De-L'Isere,57,11,12,16,1992,1992,1992,1992,97,211,153,154,16,26,40,40,7,31,45,44,5.1,380,387,48708,139734,200808,855,2785,4006
Pornichet,55,51,39,61,2004,2003,2009,2010,48,78,88,89,7,23,49,51,51,60,66,68,23.1,1757,1791,52335,158330,202221,952,3697,4741
Saint Tropez,49,30,146,28,1995,1994,2007,2007,109,173,140,194,14,25,23,26,12,37,16,40,66.5,5112,5210,160923,545334,691150,3284,10822,13140
Saint-Desirat,48,10,13,17,1990,1993,1992,1992,106,192,202,207,16,30,66,67,6,21,44,45,5.4,403,411,52545,150741,216626,1095,3568,5132
Cannes,47,27,276,32,2004,2002,2009,2007,140,267,138,132,13,51,15,18,11,57,11,21,77.9,6010,6125,202867,681428,706704,4316,13260,13115
Calvi,47,25,128,30,1989,1991,1994,1993,225,343,222,295,16,30,23,35,14,45,22,41,49.2,3748,3820,289600,762010,1006069,6162,16460,20624
Villefranche,46,12,509,51,1989,2000,1991,1990,193,136,182,184,15,26,15,15,9,25,10,11,118.9,9205,9382,313150,1118545,1133055,6808,21928,21104
Niolon,45,34,166,88,2001,2001,2003,2003,201,352,223,267,22,56,58,90,34,114,65,96,63.4,4855,4948,240916,632791,774992,5354,14995,17272
Ouistreham,44,37,98,85,2001,2004,2004,2005,87,314,141,105,19,66,49,71,26,104,117,52,62.5,4697,4787,162940,397453,473441,3703,9723,11249
Saint Wandrille,43,15,24,31,2007,2003,2006,2006,196,222,239,227,44,178,108,91,15,63,37,33,17.6,1326,1351,154422,327182,364347,3591,8446,9786
Fecamp,42,32,30,30,1998,1997,2009,2008,303,521,130,124,35,68,63,48,20,63,34,22,22.8,1710,1743,65874,164722,198149,1568,4313,5401
Courseulles,41,36,164,181,2002,2003,2002,2003,96,360,259,203,15,32,93,86,28,57,34,34,41.2,3135,3195,166459,411095,469960,4060,11403,13364
Molene,41,11,29,35,2005,1988,2008,2007,203,245,308,365,30,50,81,93,35,65,67,75,17.3,1299,1324,59381,164352,217145,1448,4563,6052
Trouville-Sur-Mer,40,37,12,19,2004,2004,2006,2006,69,82,70,71,8,13,19,19,26,42,40,41,12.9,971,990,39995,109555,140913,1000,3190,4105
Ambes,38,17,69,83,2009,2008,2010,2011,199,179,201,190,34,48,54,48,25,34,35,33,40.1,3066,3125,88125,253274,305116,2319,8447,10687
Caronte,36,20,25,37,2002,2002,2006,2006,197,406,409,426,42,107,179,180,42,49,72,72,25.5,1924,1961,101235,273576,379325,2812,9222,12411
Calais,36,30,114,80,1999,2000,1996,2000,343,699,571,281,48,108,470,263,40,87,170,128,56.4,4242,4323,231297,564028,692786,6425,15515,16519
Groix,36,8,57,15,2011,2005,2012,2007,388,585,951,337,76,174,616,449,10,74,49,109,48.2,3627,3697,321150,708852,939409,8921,20586,28909
La Martiniere (Le Pe,34,14,19,27,2008,2005,2008,2008,129,405,249,244,26,38,50,51,1,47,24,19,12.2,918,936,133195,297329,342161,3918,9617,11442
Clazay,34,27,68,76,1995,1998,2006,2006,168,345,175,145,44,64,60,47,21,50,46,50,28.3,2089,2129,67576,219095,248510,1988,7405,9757
Port La Nouvelle,33,20,27,39,2000,2002,1997,1996,128,391,231,228,16,87,365,385,69,72,221,239,49.1,3692,3763,145526,333551,380995,4410,11087,13067
Saintjean Cap Ferrat,33,13,47,26,1999,1995,1992,1998,236,355,307,280,20,21,22,30,13,111,35,49,21.9,1656,1688,138594,316628,382374,4200,10530,12591
Saint Mandrier,32,20,369,71,1998,1998,1996,2000,231,396,494,236,22,77,62,59,17,85,25,40,103.2,7936,8089,388095,951115,1183213,12128,27174,27387
Le Palais,32,7,229,23,2011,2009,2017,2016,280,317,833,341,68,52,106,145,6,80,297,245,84.8,6501,6625,106696,438620,597665,3334,13094,18697
Villeneuve-Les-Avignon,31,10,5,7,1990,1992,1992,1992,83,178,123,126,13,31,34,35,15,23,39,39,2.2,162,165,21090,60503,86948,680,2218,3189
Ile-D'Yeu,30,18,15,13,2002,2004,2001,2002,134,170,97,92,26,41,37,34,20,34,53,44,10.8,810,826,89400,212564,270868,2980,7749,10060
Belle-Ile-En-Mer,29,18,53,10,2004,2000,2006,2004,158,253,278,212,26,30,34,49,13,83,49,108,27.6,2092,2133,73126,246118,329764,2522,8233,10697
Barfleur,29,27,75,73,2003,2003,2004,2006,123,252,98,98,21,36,37,42,23,34,31,35,19.5,1467,1495,93221,267744,332537,3215,10402,12900
Cairanne,28,10,4,5,1990,1993,1991,1991,99,96,109,109,11,11,27,27,8,14,22,21,1.7,130,133,15713,45078,64780,561,1829,2631
Eteaux,28,19,171,38,1995,1994,1995,1996,177,443,494,406,20,36,31,36,20,134,28,55,57.5,4411,4496,267995,664635,837802,9571,22381,24320
Le Treport,28,12,17,18,2012,2005,1991,1991,199,892,636,511,30,59,276,247,56,254,1300,1176,18.0,1349,1375,286302,685384,918174,10225,26859,36258
Pujaut,28,9,8,11,1990,1991,1992,1991,99,466,226,233,18,39,64,63,16,91,176,192,2.9,220,224,33912,97288,139810,1211,3948,5678
Lyon,28,9,6,7,1992,1991,1994,1994,127,192,160,159,27,33,37,37,10,13,16,16,2.7,202,206,23318,66896,96135,833,2715,3904
Port En Bessin,27,23,72,67,2004,2004,2010,2008,95,247,90,99,16,41,26,26,17,44,26,29,11.8,893,910,47850,157202,196475,1772,6818,8431
Macau,27,18,44,55,2007,2008,2006,2007,273,361,321,305,49,63,119,103,23,37,32,28,19.7,1487,1516,155356,388330,482718,5754,16315,20524
Rochefort,25,24,26,32,2004,2004,2004,2005,158,649,416,335,19,82,776,647,27,89,588,492,28.8,2162,2203,99760,542242,374788,3990,11380,15852
La Peyrade,25,22,53,81,2004,2004,2009,2009,107,519,217,218,35,186,121,113,80,135,78,75,33.0,2516,2564,43457,173441,202820,1738,7959,9792
Saint-Valery-En-Caux,25,19,45,53,2003,2004,2009,2009,192,374,219,218,13,48,28,26,26,73,39,37,12.0,902,919,91761,201540,235150,3670,9679,11585
Roscoff,24,9,19,13,1997,1995,2001,1999,241,206,162,235,24,23,23,33,4,24,6,12,11.3,847,863,81072,181483,215121,3378,7992,9388
Benodet,24,2,6,11,1999,2006,1999,1998,191,382,210,204,24,46,28,26,1,50,10,5,9.2,694,708,78955,161998,174563,3290,7320,8266
Le Legue,24,14,10,15,1999,2000,2001,2001,187,237,216,211,26,32,36,36,12,32,36,33,5.6,417,425,59950,149907,194798,2498,7062,9285
Cussac Fort- Edoc,24,18,62,79,2008,2007,2009,2009,267,540,446,412,29,295,222,179,31,43,84,76,49.2,3711,3782,215761,533586,598284,8990,24211,29411
Caudebec En Caux,24,9,12,18,2009,2008,2008,2008,127,177,223,233,24,26,51,53,19,215,60,55,7.8,587,599,80427,169945,188149,3351,7914,9137
Lamor Plage,23,6,7,5,2010,2009,2011,2007,179,174,180,155,13,16,18,20,19,10,27,7,4.8,364,371,48731,102067,120153,2119,4720,5866
