,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,840,United States of America,500,Montserrat,27," Anthracite, not agglomerated",5631641.677,9964.353380999999,"United States of America -  Anthracite, not agglomerated"
1,780,Trinidad and Tobago,500,Montserrat,25," Salt (sodium chloride) including solution, salt water",188112.693,1108.345676,"Trinidad and Tobago -  Salt (sodium chloride) including solution, salt water"
2,840,United States of America,500,Montserrat,44, Fuel wood,784689.763,675.871398,United States of America -  Fuel wood
3,780,Trinidad and Tobago,500,Montserrat,27," Anthracite, not agglomerated",302704.738,321.573798,"Trinidad and Tobago -  Anthracite, not agglomerated"
4,528,Netherlands (Kingdom of the),500,Montserrat,22, Mineral and aerated waters not sweetened or flavoured,217783.108,260.30209099999996,Netherlands (Kingdom of the) -  Mineral and aerated waters not sweetened or flavoured
5,840,United States of America,500,Montserrat,22, Mineral and aerated waters not sweetened or flavoured,255638.041,241.36656,United States of America -  Mineral and aerated waters not sweetened or flavoured
6,840,United States of America,500,Montserrat,02," Bovine carcasses and half carcasses, fresh or chilled",353833.435,233.566643,"United States of America -  Bovine carcasses and half carcasses, fresh or chilled"
7,840,United States of America,500,Montserrat,25," Salt (sodium chloride) including solution, salt water",45249.923,204.87279199999998,"United States of America -  Salt (sodium chloride) including solution, salt water"
8,840,United States of America,500,Montserrat,84, Nuclear reactors,959214.261,199.397914,United States of America -  Nuclear reactors
9,840,United States of America,500,Montserrat,94," Seats, aircraft",761842.215,188.510208,"United States of America -  Seats, aircraft"
10,840,United States of America,500,Montserrat,21," Coffee extracts, essences, concentrates, preparations",395764.913,182.72059099999998,"United States of America -  Coffee extracts, essences, concentrates, preparations"
11,670,Saint Vincent and the Grenadines,500,Montserrat,23," Flour or meal, pellet of meat or offal for animal fee",83797.206,182.340667,"Saint Vincent and the Grenadines -  Flour or meal, pellet of meat or offal for animal fee"
12,840,United States of America,500,Montserrat,73, Sheet piling of iron or steel,381251.127,175.259793,United States of America -  Sheet piling of iron or steel
13,780,Trinidad and Tobago,500,Montserrat,22, Mineral and aerated waters not sweetened or flavoured,169639.4,170.28218900000002,Trinidad and Tobago -  Mineral and aerated waters not sweetened or flavoured
14,840,United States of America,500,Montserrat,20," Cucumbers,gherkins, prepared or preserved by vinegar",312929.797,170.123041,"United States of America -  Cucumbers,gherkins, prepared or preserved by vinegar"
15,372,Ireland,500,Montserrat,22, Mineral and aerated waters not sweetened or flavoured,161633.686,164.540606,Ireland -  Mineral and aerated waters not sweetened or flavoured
