dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,144,83,2004,2007,2000,2000,281990393,437071909,84,202,180,176,291,22212
Bulk carrier,803,366,2001,2003,2004,2004,1463691724,2366494562,81,111,105,104,355,27079
General cargo,2123,621,1986,1992,1992,1992,1360089495,1907559177,109,148,156,153,730,55084
Service - other,117,16,1990,1988,1991,1989,97323789,99613482,219,855,625,632,168,12602
Container,52,5,1996,1996,1998,1998,41283918,51465143,91,127,169,164,31,2320
Service - tug,647,47,2002,1992,2001,1998,77429438,36633909,152,768,335,343,248,18616
Oil tanker,62,30,1992,1999,1989,1988,141923512,231144291,328,418,632,724,120,8985
Cruise,32,2,1979,1978,1979,1979,101377475,11785986,371,484,671,663,111,8312
Miscellaneous - fishing,37,11,1985,1984,1981,1983,7357937,4391733,162,603,316,195,20,1523
Liquefied gas tanker,63,2,1987,1989,1989,1989,31604076,31551674,191,240,261,272,105,7906
Offshore,6,2,1980,1978,1982,1982,364867,691230,171,178,189,197,7,514
Ferry-pax only,3,2,1987,1986,1986,1986,1586842,186106,1482,1489,1487,1489,8,586
Refrigerated bulk,1,1,1997,1997,1997,1997,282458,313760,74,74,74,74,1,91
