dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,153,75,2002,2008,2009,2008,1415982151,2238026614,441,583,572,570,233,17824
Container,29,12,2008,2008,2008,2008,303636010,372526062,680,707,678,673,77,5873
Refrigerated bulk,41,20,1993,1993,1993,1993,219056862,240462975,655,743,713,709,151,11463
Cruise,180,21,1994,1994,1995,1995,1564736270,161418325,487,674,514,523,587,45077
Chemical tanker,357,22,2004,2006,2004,2004,4521353757,7219737313,578,610,747,750,1009,77888
Service - tug,107,12,2015,2005,2009,2008,8063687,4753575,162,874,389,402,61,4605
Oil tanker,310,13,1999,2000,1999,1999,5652840676,9582128298,529,631,657,659,1329,102560
General cargo,222,29,1997,2002,2000,1999,526335015,749333935,445,496,497,500,178,13493
Offshore,33,3,1998,1996,1998,1993,32253019,70991750,179,382,119,146,52,3912
Service - other,53,8,1979,1985,1979,1979,127699139,151175077,455,1498,1795,1722,83,6239
Ferry-pax only,16,3,1965,1960,1995,1994,24561226,4498263,331,13406,3373,2829,9,686
Liquefied gas tanker,169,4,1995,1994,1996,1996,1084829937,1417979618,479,491,637,639,321,24476
Ro-Ro,29,2,1999,2000,1999,1999,24007498,31259763,316,318,719,719,60,4537
Miscellaneous - fishing,2,1,1982,1982,1982,1982,386261,161026,251,251,251,251,0,9
