int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,168,115,2005,2008,2009,2009,6275800136,10088266953,944,2313,1974,1998,704,54143
Container,268,54,2006,2004,2006,2006,6099132300,7687528274,828,1226,1404,1407,1212,93327
Refrigerated bulk,51,30,1993,1993,1993,1993,466248146,526870079,1017,1097,1182,1203,324,24566
Chemical tanker,87,43,2007,2007,2007,2007,3097530917,5025003421,1021,1660,1729,1726,608,46922
Cruise,294,36,1995,1994,1998,1998,8653778567,931339555,388,904,574,604,2007,154756
Oil tanker,67,22,2001,2004,2004,2004,6299075059,11333564586,1274,2609,2001,2023,801,61929
General cargo,157,68,2003,2003,2004,2004,1593883944,2266655129,714,1006,1342,1361,367,28094
Liquefied gas tanker,63,12,2000,2003,2006,2005,844963182,967738423,1026,1359,1399,1319,218,16638
Service - tug,34,23,1991,1993,1977,1982,9386655,4323032,202,969,1140,896,75,5640
Service - other,16,15,1990,1991,1988,1987,254223690,204991895,1252,4007,4756,3636,109,8222
Offshore,7,5,1996,1996,1996,1997,432975760,763362845,1118,1364,2300,2289,29,2197
Ferry-pax only,4,4,1952,1952,1956,1941,1377384,678326,1091,1137,1129,1243,2,128
Vehicle,23,14,2005,2004,2001,2001,1038208159,325924890,764,1073,861,829,76,5870
Ro-Ro,10,8,1994,2000,1986,1993,15103288,11541386,576,938,695,648,71,5303
Ferry-RoPax,2,2,2004,2004,2004,1999,6469388,1422010,898,898,872,821,16,1233
Miscellaneous - fishing,1,1,1982,1982,1982,1982,559786,233365,727,727,727,727,0,23
