int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,168,115,2005,2008,2010,2010,11675775194,18552515604,2360,3593,3672,3674,1376,106162
Cruise,294,36,1995,1994,1998,1998,6249424757,679026902,302,583,414,441,1647,126931
Chemical tanker,87,43,2007,2007,2007,2007,4680254312,7616928163,2012,2926,2612,2616,802,61903
Container,268,54,2006,2004,2005,2005,5718092134,7247643388,843,1382,1317,1326,1165,89681
Refrigerated bulk,51,30,1993,1993,1994,1994,1082833320,1186940681,1022,3252,2745,2710,526,39973
Oil tanker,66,21,2001,2003,2001,2001,6136802135,10990522465,1430,2343,2001,2018,706,54591
Liquefied gas tanker,63,12,2000,2003,2011,2010,1291043725,1420370885,1016,2217,2138,1936,220,16840
General cargo,157,68,2003,2003,2005,2005,1732088766,2477442518,856,1382,1459,1488,368,28166
Service - tug,33,22,1990,1992,1978,1980,8539561,5736102,513,1337,1076,1227,41,3075
Service - other,16,15,1990,1991,1987,1986,55451299,58969197,597,1001,1037,1046,40,3006
Offshore,7,5,1996,1996,1995,1996,263317940,450144824,1036,1087,1399,1350,32,2421
Ferry-pax only,4,4,1952,1952,1996,1993,13935918,2628980,816,12352,11423,4818,8,575
Vehicle,23,14,2005,2004,2000,2000,1751319045,553842376,1078,1847,1453,1408,119,9176
Ro-Ro,10,8,1994,2000,2005,2009,38187966,48759927,676,2487,1756,2738,41,3069
Ferry-RoPax,2,2,2004,2004,1992,1990,78684204,22107472,9473,9473,10600,12757,56,4223
Miscellaneous - fishing,1,1,1982,1982,1982,1982,110075,45888,143,143,143,143,0,3
