Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Ro-Ro,210,8,137,143,1991,1995,1991,1990,113,143,137,146,23,31,39,43,8,11,12,14,114.4,8656,8823,350980,2293294,1172132,1671,4049,5485
Cruise,158,43,4818,387,1996,1999,2011,2010,167,352,635,573,18,30,70,68,9,10,9,9,878.8,67751,69052,235005,5154058,7089059,1487,28739,37932
General cargo,110,22,485,642,1981,1988,2003,2003,157,1156,1589,1623,18,119,362,366,28,48,20,20,77.6,5956,6071,352325,1188778,1741120,3203,16073,22219
Service - tug,49,7,6,5,1986,1989,2001,1998,111,228,192,151,28,100,379,329,10,90,112,95,15.8,1183,1206,124914,295383,395502,2549,6583,8888
Ferry-RoPax,47,2,4,1,1970,1972,1970,1970,95,95,99,99,14,13,15,15,2,8,3,3,4.8,361,368,32072,69385,92251,682,1523,2171
Oil tanker,25,7,177,308,2002,2004,2007,2007,179,638,764,795,22,76,298,301,12,10,18,18,31.1,2379,2424,276162,403466,520317,11046,28094,35935
Chemical tanker,25,10,420,700,2012,2009,2012,2012,211,2022,1837,1941,35,306,498,501,16,101,10,10,82.2,6284,6405,306978,1417843,1705261,12279,65356,81822
Liquefied gas tanker,14,1,11,11,2007,2007,2007,2007,148,148,157,157,24,24,30,30,9,9,9,9,8.1,617,629,8232,23849,26337,588,3219,4233
Miscellaneous - fishing,12,2,0,0,1957,1968,1960,1959,121,150,130,128,87,54,83,88,4,35,17,14,3.0,222,226,1906,4229,4808,159,374,443
Ferry-pax only,3,2,4,1,1998,1998,1995,1995,179,8381,2431,2406,235,1833,3346,3344,20,44,72,72,6.6,497,506,50485,102818,129519,16828,39134,51591
Service - other,2,1,0,0,1991,1991,1991,1991,263,263,263,263,58,58,72,72,36,36,20,20,0.7,49,50,1359,2788,3005,679,1512,1707
Container,2,2,4,4,2012,2012,2008,2008,291,291,337,342,34,34,44,44,8,8,4,3,1.1,84,85,9561,24249,27380,4781,12321,13875
Bulk carrier,1,1,115,199,2014,2014,2014,2014,3149,3149,3149,3149,326,326,326,326,4,4,4,4,9.7,755,769,40567,119076,136030,40567,185373,226551
Refrigerated bulk,1,1,6,6,1993,1993,1993,1993,775,775,775,775,48,48,48,48,741,741,741,741,14.3,1079,1100,18501,40426,45537,18501,39426,42568
Vehicle,1,1,2,1,2010,2010,2010,2010,91,91,91,91,11,11,11,11,3,3,3,3,0.2,19,19,507,2234,2587,507,1926,2073
