dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,29,2,1992,1990,1994,1995,10998617,18648398,141,98,125,126,11,858
General cargo,26,2,1993,1992,1992,1992,4008232,5047050,60,60,66,66,1,87
Offshore,1,1,2008,2008,2008,2008,3519321,3713922,3298,3298,3298,3298,4,327
Container,3,2,1983,1989,2007,2007,33435672,41145782,69,755,1276,1265,24,1846
Service - tug,3,1,2010,2010,2010,2010,4348733,1309197,1441,1441,3052,3052,7,548
