int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,82,74,2011,2011,2012,2012,2558924353,4121153269,793,1351,1252,1231,269,20734
Chemical tanker,88,50,2009,2010,2009,2009,2459817344,4084612957,811,1348,1280,1286,470,36163
Oil tanker,31,16,1999,2004,2006,2006,807857717,1398703891,866,1242,1306,1320,239,18417
Vehicle,65,56,2007,2007,2009,2008,2789035407,914473621,297,812,742,732,168,13008
Liquefied gas tanker,5,5,2009,2009,2010,2010,132277619,149953465,1056,1607,1810,1836,18,1375
General cargo,73,29,1998,2006,2006,2006,1231032140,1837828465,1076,2199,2183,2227,195,14918
Cruise,29,15,2001,2000,2004,2004,643256972,68965875,256,399,347,342,179,13864
Container,214,22,2007,2006,2008,2008,2573506263,3233724977,300,408,500,499,521,40148
Refrigerated bulk,1,1,1979,1979,1979,1979,348253,383011,134,134,134,134,2,170
Service - other,1,1,2010,2010,2010,2010,6096853,3436914,772,772,772,772,3,259
Offshore,4,3,1987,1990,2005,2003,3416803,3962946,327,1137,1180,867,9,700
Other liquids tankers,1,1,2018,2018,2018,2018,4691207,5053475,1075,1075,1075,1075,30,2242
Ferry-RoPax,1,1,2007,2007,2007,2007,1673229,141363,144,144,144,144,1,47
Service - tug,4,4,2002,2002,2003,2003,4509433,3226409,956,3515,1876,1688,13,998
Ro-Ro,1,1,1970,1970,1970,1970,1999258,1159087,833,833,833,833,1,70
