int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Corinto,490,233,2008,2008,2009,2009,12144922831,14080205609,347,1302,824,978,1766,136128
Puerto Sandino,35,31,2009,2009,2010,2010,904879926,1521145292,789,856,845,845,221,17104
Rama,45,5,1991,1984,1991,1992,93806668,116164371,1052,651,909,909,28,2112
Corn Island,20,7,1993,1995,1997,1996,52502287,80807558,775,550,767,939,64,4815
El Bluff,7,4,1987,1986,1994,1994,11046490,14846840,562,501,618,622,32,2385
Potosi,1,1,2008,2008,2008,2008,3054005,3222877,2862,2862,2862,2862,6,442
Tipitapa,1,1,1978,1978,1978,1978,11713,20488,17,17,17,17,0,10
Puerto Cabezas,1,1,2006,2006,2006,2006,8218931,10366687,1266,1266,1266,1266,2,119
