Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,387,126,33434,41080,2008,2008,2008,2008,1850,2293,2116,2135,123,159,217,219,28,40,44,44,4359.6,337498,343978,30633642,86762055,97082833,79157,245748,285073
General cargo,370,68,1665,2309,2007,2007,2008,2008,286,1192,706,707,35,114,248,253,57,61,75,76,424.9,32548,33173,2232491,6903714,9729938,6034,26556,34610
Service - tug,225,50,207,183,2009,2008,2008,2008,287,734,419,403,55,288,507,473,12,72,61,62,186.3,14063,14333,4685705,11080282,14835898,20825,53775,72605
Oil tanker,115,108,97934,188109,2011,2011,2011,2011,7530,5960,6184,6183,657,602,765,766,40,54,44,44,4700.4,364049,371038,47948692,82766093,87512726,416945,1123499,1399525
Chemical tanker,70,39,1731,2777,2008,2008,2007,2007,1156,1585,1764,1775,224,272,376,376,46,53,60,60,417.8,32111,32728,1268761,5441650,6393052,18125,88994,107978
Bulk carrier,65,55,3180,5244,2008,2008,2008,2008,1195,2195,1926,1880,146,212,335,332,138,184,169,167,347.2,26826,27341,2040648,5015490,7152360,31395,127711,159636
Ro-Ro,65,13,1020,515,2004,2004,2005,2005,345,824,937,921,47,62,70,70,48,34,27,26,159.7,12278,12514,575580,1245672,1283594,8855,20856,22571
Service - other,15,11,141,79,2008,2006,2009,2008,594,1370,1359,1303,275,346,706,693,52,179,170,163,70.5,5392,5495,553586,1135836,1223932,36906,82121,92727
Liquefied gas tanker,13,8,246,280,2012,2013,2013,2013,645,1750,1613,1608,65,155,257,255,14,17,18,18,53.0,4078,4156,193275,596741,642530,14867,83606,111281
Vehicle,12,7,791,270,2006,2006,2008,2008,959,1454,1324,1391,70,94,105,110,20,25,21,19,53.1,4110,4189,273782,1207087,1397930,22815,86721,93330
Refrigerated bulk,9,4,57,48,1990,1996,1988,1988,932,1299,1558,1342,78,115,287,263,51,64,130,122,37.4,2828,2882,141880,310014,349201,15764,33594,36271
Miscellaneous - fishing,4,4,11,4,2003,2003,1996,1996,1216,1555,2522,2456,260,453,380,389,10,10,3,3,7.8,583,594,26852,59564,67718,6713,15799,18729
Ferry-pax only,1,1,0,0,1983,1983,1983,1983,452,452,452,452,65,65,65,65,33,33,33,33,0.2,13,13,2866,5836,7352,2866,6664,8786
