int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,3329,996,2004,2004,2007,2007,40493605569,57420558671,654,1680,1726,1735,6704,514501
Chemical tanker,3031,1084,2007,2008,2009,2009,58870610286,95634328064,955,1832,1848,1865,11720,900191
Oil tanker,1318,798,2005,2005,2009,2009,264764652607,493970182937,1562,3410,3803,3876,20403,1575221
Bulk carrier,2838,1462,2007,2009,2009,2009,277210641601,507936544094,1510,2607,2804,2858,20102,1555733
Container,10116,1190,2006,2008,2009,2009,506405551442,569954227690,601,1264,1368,1356,60651,4674886
Liquefied gas tanker,1130,430,2007,2008,2009,2009,168608668013,137841676906,1508,2827,4037,3907,21344,1357954
Vehicle,430,246,2008,2008,2009,2008,52545394908,17819377740,1221,2442,2325,2414,3225,249586
Service - other,379,159,1999,1997,1998,1998,2530797408,1524908068,601,1945,1633,1419,967,73279
Offshore,2015,280,2004,2004,2011,2010,4834694743,4373346545,133,1037,704,596,1738,126089
Ferry-pax only,93,17,1995,1995,1993,1990,160079974,29991775,457,5711,1029,999,110,8289
Cruise,1387,188,1996,1996,2005,2003,37667491488,3830316773,290,513,438,453,8120,622688
Refrigerated bulk,353,121,1992,1992,1992,1992,5668240208,5953726687,1322,2469,2319,2316,3215,244302
Service - tug,1292,294,1997,1999,2002,2002,1026363403,864723467,303,948,611,615,1327,100009
Miscellaneous - fishing,394,269,1998,1998,1995,1996,2023470152,1349393223,918,3929,3218,3115,1131,84961
Ro-Ro,871,19,1996,2003,2002,2000,2111105489,978119754,123,427,262,224,591,45132
Ferry-RoPax,878,47,1998,1993,1996,1995,3447219482,802793024,159,613,233,225,992,75225
Other liquids tankers,32,3,1992,1983,2002,2002,53066366,53092769,658,571,1032,968,56,4338
Miscellaneous - other,5,1,1989,1989,1989,1989,20298255,5469514,725,725,629,629,8,573
Yacht,6,1,1911,1911,1911,1911,1631305,1748418,645,645,897,897,0,0
