Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,12145,1090,555274,626606,2006,2007,2008,2008,826,2080,2186,2099,64,141,240,235,7,10,12,12,73548.8,5682875,5791986,465900726,1319812623,1496292480,38362,122388,143051
General cargo,8722,1353,96543,139532,2003,2004,2008,2008,872,1802,2012,2050,101,181,385,395,39,59,67,67,16427.8,1257841,1281991,104607911,335043843,482351731,11994,54867,74324
Bulk carrier,7227,2566,1043226,1875750,2009,2010,2010,2010,3060,3448,3856,3883,307,356,531,535,68,89,102,103,72404.3,5603585,5711174,464341507,1134008962,1359545640,64251,233657,282540
Chemical tanker,4803,764,78129,124745,2007,2008,2009,2009,796,2126,2319,2356,72,193,495,496,19,35,35,35,15399.3,1185305,1208062,65946395,269628488,320810317,13730,64771,79539
Liquefied gas tanker,2672,537,687963,539298,2006,2009,2007,2007,2431,4621,4435,4513,174,334,425,442,23,28,28,29,79109.3,5041905,5138710,133648510,945897024,792376205,50018,428917,659840
Vehicle,2578,544,424418,140227,2005,2007,2007,2006,1954,3181,3359,3297,167,235,388,388,11,16,24,24,25364.0,1962737,2000422,141998283,626060173,725041488,55081,209362,225319
Oil tanker,1702,620,623121,1174069,2009,2009,2009,2009,2582,3868,5249,5326,236,361,540,541,26,41,43,43,44401.7,3438352,3504369,358706346,646598905,700989915,210756,559881,697410
Ferry-RoPax,908,13,3497,818,2000,1998,1997,1998,124,541,295,239,11,72,30,26,7,26,15,15,1098.6,83917,85528,5150060,12710937,15614148,5672,12116,11136
Miscellaneous - fishing,875,179,1023,733,1987,1995,1998,1999,127,4040,1623,1736,22,589,1503,1448,12,135,235,243,903.0,67872,69175,5151978,11428081,12992571,5888,13857,16427
Cruise,786,46,53734,4965,2004,2000,2007,2005,551,911,705,720,40,68,78,87,10,16,12,12,9123.6,706526,720091,7370837,75173121,96585186,9378,83602,101708
Refrigerated bulk,656,144,9816,10637,1996,1995,1996,1997,1970,2164,2178,2185,121,252,271,275,20,88,45,47,4904.2,373985,381165,31557611,68954912,77671224,48106,102514,110684
Ro-Ro,522,16,4137,1664,1998,1997,2002,2002,503,642,646,650,35,59,58,66,7,21,16,21,1000.8,77147,78629,3350470,19210983,10508519,6419,15469,20203
Ferry-pax only,323,11,68,19,1995,1997,2000,1998,461,876,646,675,14,92,64,62,12,23,47,36,189.6,14235,14509,1547006,3154011,3973515,4789,11144,14692
Service - tug,245,40,137,118,2002,2002,2003,2003,782,1019,942,964,98,270,376,373,18,47,74,78,221.9,16667,16987,3030620,7166503,9595560,12370,31941,43126
Service - other,137,68,1567,990,1996,1997,1994,1990,938,2934,2723,2424,125,391,637,614,45,179,466,397,494.3,37381,38099,6909780,14177352,15276955,50436,112229,126723
Other liquids tankers,24,3,111,130,2003,2003,2002,2003,1053,1582,1344,1349,98,127,144,143,20,33,35,35,66.2,5129,5228,66864,190917,411617,2786,9652,15596
