Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Yokohama,3068,1147,330839,317670,2008,2007,2007,2008,1285,2835,2923,2858,109,216,309,311,18,40,35,38,33066.1,2509543,2557727,173171163,570584094,649670963,56444,210361,253861
Nagoya,2824,1010,212137,235766,2006,2007,2007,2009,1155,2506,2697,2684,89,204,309,315,17,55,65,79,20067.6,1477663,1506035,103135892,362775174,398891825,36521,142342,177558
Kobe,2815,818,104564,115867,2006,2007,2008,2008,944,2008,1742,1712,69,163,257,261,15,44,35,43,14098.9,1086982,1107852,85261108,267413659,309507345,30288,106007,125988
Hakata,1955,309,34731,18034,2002,2005,2008,2007,460,1085,786,830,33,102,116,202,11,51,44,56,5684.4,438584,447005,17613618,69266853,84120473,9010,35670,42342
Mizushima,1282,652,131041,234335,2007,2008,2009,2010,971,2482,3963,4096,89,219,405,411,24,51,54,55,8889.1,679534,692581,64917186,149949475,169107794,50637,167190,207943
Moji,1280,384,7431,8670,2002,2002,2003,2003,539,775,649,668,47,74,91,98,13,42,30,28,1720.6,131897,134430,12486525,37444931,44515183,9755,31751,38358
Kawasaki,1278,695,156754,146191,2007,2006,2008,2009,1357,2936,4266,3820,137,246,420,410,25,54,70,73,15830.3,1072399,1092989,53695766,243615363,242432004,42015,225978,315885
Osaka,1141,318,15308,18550,2004,2005,2006,2008,762,1490,992,1237,61,148,220,283,16,51,42,46,2919.2,224368,228675,18136738,52324734,63407395,15895,52582,63216
Shimonoseki,954,221,9622,10664,1998,2003,2008,2009,274,1242,832,1692,19,142,223,343,14,58,69,96,1413.2,108426,110508,6029218,22246872,23811289,6320,21800,27255
Oita,930,518,42913,56227,2005,2006,2008,2010,748,1900,3127,2965,80,180,399,398,22,58,388,231,4158.1,299850,305607,22430792,73170900,81307272,24119,103631,140081
Tonda,865,284,23322,38740,2004,2008,2009,2010,698,1699,2115,2217,69,165,329,331,21,57,64,65,2729.4,210363,214402,17903904,45600878,54157012,20698,73803,92081
Fukuyama,836,493,65185,121495,2006,2007,2010,2010,1395,2297,3166,3230,150,222,365,367,32,61,98,100,4282.0,330762,337113,29967293,75252258,92590921,35846,126237,156040
Tokyo,798,243,106618,115029,2009,2007,2009,2009,1256,2433,3016,3018,95,183,320,318,20,57,40,41,12134.4,937432,955430,81142344,218767312,247664716,101682,312970,365008
Kashima Ko,698,478,56192,100071,2009,2009,2010,2009,1764,2849,3577,3680,191,276,403,403,26,65,81,81,4886.5,377350,384595,34856566,86210236,104583835,49938,174939,217600
Ichihara,676,426,160213,231417,2008,2008,2008,2008,2861,3377,4114,4284,222,295,428,430,30,69,64,68,12496.6,879604,896493,61330743,186043159,186896545,90726,378418,509115
Sakaisenboku,670,427,117015,141371,2008,2007,2009,2009,1373,2481,3850,3956,132,205,384,395,25,49,52,52,9641.3,665696,678477,43627752,150656232,146890143,65116,285151,396604
Yokkaichi,655,329,104466,150971,2006,2007,2006,2008,1227,2717,4207,4386,108,234,412,431,21,54,74,64,8370.6,592001,603367,44016838,127998890,127479712,67201,261309,353515
Kisazaru,526,370,107076,112822,2007,2008,2007,2009,2911,3349,4301,4060,259,305,399,406,28,52,55,56,10285.5,675783,688758,30824262,138168497,136168749,58601,331631,472525
