Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
"Korea, Republic of",14353,2902,133068,156931,2003,2007,2008,2009,519,877,712,748,41,85,119,136,15,56,87,85,22778.1,1739291,1772686,143611962,417848449,494476257,10006,33493,41314
China,12706,2717,244271,250828,2006,2007,2008,2008,950,1192,1048,1138,81,129,132,163,19,70,57,73,38634.8,2972045,3029109,204033607,644143853,771529671,16058,57853,70908
"Taiwan, Province of China",2730,917,72473,76601,2007,2007,2007,2008,1079,1368,1186,1304,83,131,291,274,11,43,32,33,10849.2,821374,837145,58227631,196790894,229240362,21329,81402,100815
Russian Federation,2570,878,53808,66966,2000,2004,2008,2008,665,1061,1179,1131,71,147,210,197,45,83,82,88,6590.4,485682,495007,32774624,102102881,114915579,12753,49958,65791
Australia,2483,1091,704549,1038392,2010,2010,2009,2010,4064,4200,4145,4112,346,365,372,373,36,83,86,96,46188.1,3330351,3394294,233427703,768697354,813108062,94010,409223,532028
United States of America,1606,928,438465,433509,2009,2009,2009,2010,4841,5952,6199,5961,390,510,533,556,47,79,63,84,38236.6,2913085,2969016,215096968,743003235,832048626,133933,533965,655072
Singapore,1478,1084,217606,233560,2008,2009,2008,2009,2810,2992,2998,2974,227,267,277,286,15,43,61,60,20724.4,1523846,1553104,99776230,337743022,368069908,67508,276153,354459
Philippines,915,339,21874,28632,2003,2006,2005,2006,1900,2020,2054,2077,139,187,185,196,44,92,79,85,4891.0,374514,381705,34335126,87481928,105369137,37525,110071,129719
Hong Kong,753,356,33759,35737,2007,2007,2009,2008,1468,1722,1551,1590,117,165,131,145,10,20,21,19,4422.4,340769,347312,24567462,74983078,89574178,32626,116284,140443
Indonesia,735,450,100863,151574,2006,2008,2006,2008,2895,3729,3171,3093,244,395,419,399,33,74,85,84,8487.8,619357,631249,48102230,133450725,146101661,65445,248120,320531
Malaysia,674,422,137070,189900,2007,2009,2007,2008,2878,3105,3148,3006,225,274,243,252,23,54,182,108,12318.7,836582,852644,52345569,171968841,175159592,77664,331591,451335
Thailand,609,364,37584,45922,2009,2009,2009,2009,3034,3444,3285,3338,253,291,281,303,36,69,57,68,4785.0,369117,376204,27679149,85921811,107893226,45450,179116,221721
Canada,482,408,101818,151015,2011,2011,2010,2011,4461,4538,4463,4493,390,447,436,469,60,106,92,108,6945.4,535395,545674,44282471,127695627,153311543,91872,357733,430118
United Arab Emirates,414,154,337682,573221,2007,2008,2007,2008,6221,6112,6233,6221,433,468,448,454,22,45,39,37,21753.1,1561788,1591775,140764934,298238052,298359729,340012,1075944,1410543
Viet Nam,371,251,15897,21207,2007,2007,2008,2008,2331,2505,2417,2444,220,258,231,236,46,84,72,75,1893.0,145932,148734,13888661,36725335,47270307,37436,135017,167722
Mexico,360,271,122438,118401,2008,2009,2007,2007,6121,6367,6127,6080,406,461,420,442,23,47,35,48,11055.9,852824,869198,61944605,192157429,226778946,172068,623529,728243
Panama,117,110,36230,42277,2010,2010,2012,2012,8081,8005,8114,8025,638,676,615,642,46,58,73,72,3247.7,242268,246919,14010852,62115506,62844441,119751,671160,926728
New Zealand,107,82,16650,16338,2007,2007,2008,2009,5008,5360,5178,5289,427,422,402,448,52,87,74,73,1660.1,128170,130631,10247530,31484978,38585031,95771,351979,415781
Antarctica,104,24,47,26,1984,1990,1992,1994,92,241,509,472,32,60,201,191,11,20,14,16,27.3,2049,2089,183209,406789,465130,1762,4160,4956
Chile,96,73,43768,53495,2008,2008,2008,2008,9532,9672,9643,9676,756,775,769,795,132,122,135,159,2937.9,226767,231121,18009119,54784086,64453504,187595,730433,861766
Guam,89,34,2945,2800,2003,2002,2005,2005,1370,1899,1524,1582,92,183,127,139,21,71,28,38,474.0,36495,37196,2284451,8456170,9681626,25668,102204,121771
Brunei Darussalam,75,26,14894,12291,2007,2005,2008,2008,2476,2848,2732,2713,167,225,193,195,47,56,65,64,1600.1,100629,102561,3226728,21319834,18676770,43023,347347,529980
Qatar,66,30,48937,45642,2001,2005,2001,2003,6517,6433,6604,6571,384,419,411,426,22,34,49,43,5488.1,340211,346743,11004835,54732422,47234714,166740,1043364,1560176
Papua New Guinea,62,41,16699,13198,2008,2008,2012,2011,3452,5349,4273,4214,284,595,337,336,29,52,108,114,1600.0,102437,104404,3921188,23376784,20921991,63245,460102,691048
Peru,52,50,26513,29789,2009,2009,2009,2009,8716,9160,8884,8896,652,736,659,715,66,109,126,184,1826.9,134812,137401,10814129,34958291,39388546,207964,760982,898177
Oman,51,28,32862,38878,2009,2010,2010,2009,6029,5943,6116,6145,370,421,403,422,23,40,32,39,2833.1,183586,187111,9482272,34113636,31314524,185927,902223,1294023
Northern Mariana Islands,43,14,1375,820,2008,2006,2006,2007,1275,1331,1302,1318,100,95,87,99,14,24,14,29,148.9,11489,11709,569074,2261107,2832292,13234,58822,71479
India,41,29,3062,4561,2009,2008,2009,2010,4493,5166,5201,5124,408,442,442,451,30,93,165,185,387.8,29934,30509,2310030,6918088,8832404,56342,227268,280093
New Caledonia,39,20,4542,7694,2013,2011,2013,2013,4033,5141,4836,4816,373,604,616,610,142,155,173,175,438.3,33828,34477,3332635,7832602,10516738,85452,324978,400694
Colombia,35,35,15417,12906,2010,2010,2010,2011,8192,8285,8218,8369,530,583,578,661,16,30,32,55,1082.0,83798,85407,5796425,22374517,26219747,165612,678674,777254
Guatemala,29,28,8109,6685,2009,2010,2008,2010,7067,7099,7064,7147,515,537,493,569,13,37,26,43,574.4,44462,45316,3843898,13220531,16252988,132548,520167,604126
Marshall Islands,26,10,916,1101,2012,2008,2012,2013,2490,5886,2817,2789,188,648,380,365,20,13,19,19,258.4,19823,20204,1419419,4597018,5321564,54593,188060,226719
Fiji,23,22,4041,2441,2007,2007,2007,2007,4083,4111,4093,4118,286,299,287,308,44,101,63,119,288.8,22354,22783,1602378,5638060,6823834,69669,260790,295138
Micronesia (Federated States of),23,19,239,218,2000,2000,1999,1998,5153,6475,4838,4597,425,696,735,669,76,292,382,339,200.0,15073,15362,1126057,2487962,2832471,48959,113069,131765
Puerto Rico,22,13,6671,2372,2010,2009,2009,2008,8815,8481,8991,8777,550,542,578,578,12,10,9,9,427.7,33095,33730,2571585,10976533,12787547,116890,434505,473308
Jamaica,22,19,11531,4279,2004,2005,2005,2004,8446,8526,8532,8510,564,572,570,568,12,12,13,13,643.9,49879,50836,4332574,19102005,22122069,196935,748551,805605
Solomon Islands,22,11,1607,1478,2008,2010,2008,2010,3014,3401,3165,3209,252,504,286,304,38,280,78,78,194.5,14972,15260,640081,2749629,3532696,29095,158322,200727
Netherlands,20,6,1399,1071,2003,2010,2016,2018,220,1976,2167,2702,22,146,641,673,4,16,44,46,111.1,7195,7333,294664,2184144,2014849,14733,125677,188831
Palau,18,9,270,223,2000,2003,1995,1999,1909,2476,1889,1880,138,265,151,146,30,86,35,39,60.8,4681,4771,393827,1257269,1683398,21879,86513,107881
Nigeria,18,11,8700,7356,2000,2005,2010,2010,3580,8743,9575,8365,265,548,674,675,20,27,33,33,1063.2,64496,65734,1798181,12932174,10846366,99899,869891,1345893
South Africa,18,15,6084,8713,2010,2009,2010,2010,7514,6923,7300,7063,564,562,598,596,88,129,96,97,388.7,29008,29565,2516003,6504782,7228042,139778,533445,666953
Costa Rica,18,16,5904,7761,2010,2009,2010,2010,7861,8299,8563,8547,686,703,780,798,49,109,152,152,478.8,37074,37786,2744433,7271234,8870845,152469,585696,700010
Saudi Arabia,17,16,13552,25724,2010,2010,2011,2011,6666,6622,6594,6594,488,487,476,475,55,66,50,49,745.7,57734,58843,6486941,11612190,12425248,381585,1084944,1357815
