Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Dublin,4190,484,24378,15240,2004,2005,2007,2007,133,578,365,429,12,64,85,110,11,38,27,37,5698.3,435249,443606,28319031,74035220,88247293,6759,18170,19837
Rosslare,388,32,4333,831,1998,1999,1993,1997,307,644,409,360,19,57,264,165,6,19,248,148,883.6,67256,68547,4674925,11519369,14163428,12049,26080,24219
Ringaskiddy Deepwater Terminal,371,207,13360,15754,2006,2005,2010,2011,606,1450,1566,2466,68,153,241,276,14,35,21,26,1945.0,150013,152893,12768451,37412008,44407735,34416,112890,132454
Ford'S Wharf (Topaz Energy Terminal),285,150,910,1103,2004,2003,2008,2007,590,730,602,616,59,85,85,88,24,48,39,40,325.7,24619,25092,2001916,5917765,7556829,7024,23554,30358
Tom Roes Point Terminal/Drogheda,262,184,673,1003,2003,2003,2004,2004,746,983,938,938,80,127,160,159,36,41,49,50,207.2,15720,16022,2715158,7776563,11045195,10363,35081,48974
Castletown Bearhaven,238,89,236,188,1997,1996,1999,2001,1942,2263,1978,1633,261,392,717,578,23,145,227,195,376.5,28274,28817,1011253,2395293,2925636,4249,10911,13750
Cork,191,142,5099,8908,2006,2006,2008,2008,570,985,1444,1500,66,120,299,305,32,39,58,58,716.5,55000,56056,5042831,11792179,13579018,26402,73386,91847
Waterford Great Island (Esb),168,146,611,862,2006,2006,2008,2008,595,796,920,981,70,89,153,154,32,36,42,44,160.6,12194,12428,1477452,4263125,5966401,8794,31929,42821
Killybegs,164,103,557,391,1998,1999,2003,2004,993,2105,832,1291,86,320,494,638,49,304,241,344,352.2,26597,27108,2155061,5085540,5878855,13141,32923,39052
Greenore,151,123,1141,1624,2003,2003,2005,2006,1034,1262,1365,1388,131,147,252,253,28,40,52,54,248.7,18953,19317,2103669,6017151,8528776,13932,52306,69804
Foynes,149,117,1971,3084,2004,2005,2008,2009,956,1444,2080,2100,109,150,291,293,40,57,78,78,309.6,23710,24166,2439432,6647013,9338049,16372,60576,79829
Wicklow,141,55,102,140,1993,2000,2001,2001,196,341,348,354,25,42,76,78,19,21,24,24,35.3,2660,2711,357563,1040092,1469127,2536,8370,11857
Dunmore East,135,123,646,876,2004,2004,2006,2006,736,955,947,1091,77,106,140,150,15,26,28,30,144.1,10962,11172,1446632,4293869,6076128,10716,40163,53988
Moneypoint,126,100,4227,7571,2006,2006,2009,2009,1092,1595,2285,2345,114,158,288,293,23,71,158,162,430.5,33134,33770,2858863,7404190,9472549,22689,85145,106466
Kilrush,125,106,1903,3088,2006,2006,2008,2008,1113,1433,1934,1995,84,121,254,261,37,48,62,63,319.6,24479,24949,2089230,6673838,8662371,16714,68016,87038
Aughinish,98,78,5080,9099,2008,2009,2011,2011,1517,2041,2551,2602,164,253,414,418,56,78,106,107,504.9,38989,39738,2686422,7318915,8970147,27412,113203,139511
Howth,88,47,801,302,2002,2002,2005,2005,244,559,598,576,18,49,60,61,7,19,16,16,138.6,10650,10855,772604,2270908,2706400,8780,23540,23993
Cobh,75,49,2783,931,2001,2000,2007,2010,424,1017,579,1407,37,85,103,273,9,65,25,46,552.9,42480,43296,1158022,5340171,6561896,15440,69048,79531
