Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Dublin,4127,542,31026,17376,2004,2005,2006,2007,130,662,455,490,12,71,865,404,8,38,36,34,6837.7,522966,533007,35819290,94000260,113651731,8679,22821,24440
Rosslare,389,37,5226,1112,1998,1999,1994,1998,312,807,495,480,19,79,240,163,3,52,122,75,1051.3,80147,81686,5653660,14064415,17276729,14534,31995,30106
Ford'S Wharf (Topaz Energy Terminal),373,146,1293,1543,2005,2003,2007,2007,584,543,563,558,42,56,60,57,24,34,31,31,479.6,36292,36989,2998821,8350898,10016315,8040,24037,29220
Ringaskiddy Deepwater Terminal,336,164,5003,3278,2005,2004,2005,2008,553,587,628,632,40,62,63,70,20,46,29,37,741.3,56553,57638,4595467,13640992,16535609,13677,40530,45089
Tom Roes Point Terminal/Drogheda,259,184,395,596,2003,2003,2004,2004,622,569,561,561,62,65,90,89,33,38,46,45,133.2,10075,10269,1643055,4702547,6683055,6344,21348,29898
Castletown Bearhaven,222,83,193,129,1998,1996,1998,1999,1870,2513,1936,1446,344,470,692,592,124,216,380,363,408.1,30641,31229,807081,1841784,2162528,3635,8879,10821
Waterford Great Island (Esb),193,134,524,679,2006,2005,2008,2008,564,564,549,585,46,65,77,84,35,41,42,45,168.8,12792,13038,1391578,3904647,5198681,7210,23481,30602
Cork,181,129,4281,7327,2005,2005,2008,2008,605,949,1257,1279,68,109,217,219,28,43,50,49,581.8,44363,45214,4019592,9994169,11563926,22208,65910,82299
Killybegs,166,100,561,412,1998,1999,1998,1999,948,1869,819,1390,116,397,629,672,22,221,579,737,343.0,25892,26390,2432524,5697615,6578553,14654,36115,42841
Greenore,153,128,890,1202,2003,2004,2005,2007,471,771,867,820,57,91,150,135,23,53,109,110,189.3,14356,14631,1208527,3270820,4588616,7899,28906,38051
Foynes,136,106,725,1151,2005,2006,2010,2010,674,721,787,797,73,88,139,141,30,43,76,79,141.6,10791,10998,1170153,3392144,4630105,8604,31332,41679
Aughinish,128,94,5237,9457,2008,2009,2011,2011,1022,1697,2133,2193,108,200,452,460,47,58,62,62,466.8,35779,36466,2605966,7467673,9217498,20359,88991,110974
Wicklow,128,53,140,146,1993,2000,2005,2002,194,375,429,385,24,50,88,80,23,39,50,69,41.9,3165,3226,342958,1024725,1434440,2679,9062,12676
Kilrush,116,98,1017,1607,2006,2006,2008,2008,767,1028,1138,1163,80,122,208,215,28,74,77,74,229.9,17462,17797,1301898,3912520,5256767,11223,44521,57976
Dunmore East,114,103,462,618,2004,2003,2006,2007,556,685,747,843,78,97,168,180,31,51,35,35,109.4,8312,8471,919703,2645277,3590191,8068,28210,37156
Moneypoint,114,90,3687,6724,2007,2007,2009,2009,939,1366,1872,1926,104,141,296,301,39,64,120,122,359.9,27560,28089,2164163,5799196,7285217,18984,74018,92536
Howth,88,47,526,229,2001,2001,2004,2004,228,584,432,476,20,79,48,71,14,36,33,60,127.4,9748,9936,677959,1816972,2207466,7704,19535,20103
Donegal,76,61,223,316,2003,2004,2008,2008,571,588,539,543,50,74,75,77,32,36,44,43,66.3,5039,5136,510235,1544221,2057147,6714,23226,30919
