Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Miscellaneous - fishing,643,82,260,179,1996,1997,1999,1999,343,1185,591,430,45,335,505,461,25,129,287,257,474.1,35602,36285,1258874,2792425,3174705,1958,4608,5462
General cargo,432,253,505,765,2003,2004,2007,2007,207,293,329,331,21,33,63,64,26,38,58,58,146.2,11106,11319,1336979,3941119,5622450,3095,11341,15655
Service - other,320,22,354,171,1999,2002,2003,2003,337,422,695,597,41,180,280,218,20,23,188,170,255.5,19185,19554,1196204,2454348,2644708,3738,8318,9392
Container,267,17,330,404,2005,2003,2006,2006,170,162,166,166,13,17,14,14,10,13,12,13,128.2,9840,10029,902089,2289962,2585687,3379,8717,9819
Oil tanker,183,8,217,331,1998,2004,1999,1999,285,244,276,272,28,31,36,36,14,23,23,24,92.9,7102,7238,1250922,283466,406646,6836,17724,22555
Service - tug,150,12,34,24,1996,1991,1997,1996,210,576,623,579,54,189,581,623,28,234,1070,1149,83.1,6239,6359,621343,1469290,1967299,4142,10696,14442
Chemical tanker,143,35,178,291,2004,2005,2006,2006,178,232,226,223,23,27,37,37,17,32,36,37,108.7,8273,8432,371792,1185163,1486907,2600,9293,11814
Cruise,98,40,1185,116,1996,1996,2005,2002,183,189,205,207,14,15,18,18,10,22,13,13,307.4,23767,24224,229572,1961012,2538697,2343,17371,20961
Bulk carrier,84,70,825,1451,2009,2009,2010,2010,219,303,327,329,33,41,67,69,54,62,59,59,82.5,6377,6499,461660,1102940,1426700,5496,21032,25622
Ferry-RoPax,20,6,405,95,1984,1988,2003,2003,599,1150,1132,1174,27,183,158,178,25,58,21,25,104.3,7961,8114,651862,1587819,1965601,32593,69956,68201
Liquefied gas tanker,19,10,68,76,2013,2011,2015,2015,215,233,241,242,23,33,74,76,21,39,24,23,20.9,1586,1617,22852,136142,119051,1203,9457,14175
Ferry-pax only,16,3,30,3,1989,1992,1997,1995,2640,7519,5669,5111,81,294,1369,1201,125,164,432,398,15.9,1195,1218,280291,571746,720339,17518,40771,53751
Vehicle,5,4,154,47,2012,2012,2015,2015,94,612,564,568,18,91,281,280,19,35,80,80,6.5,502,512,47817,210821,244152,9563,36350,39121
Ro-Ro,2,2,6,4,2001,2001,2000,2000,301,301,207,228,28,28,33,35,30,30,22,19,2.9,224,228,4436,8174,9530,2218,5213,5533
