int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,142,103,2009,2009,2010,2010,8367941923,13532679121,2822,2512,2506,2505,1118,86510
General cargo,148,93,2006,2008,2011,2012,3783189516,5581158188,616,1831,1803,1838,525,40259
Bulk carrier,672,588,2011,2011,2011,2011,84683749656,153268259006,3429,3169,3398,3434,6552,507324
Container,269,55,2000,2002,2002,2002,8772555385,11051752629,1126,1568,1416,1402,1517,117054
Service - tug,13,9,2006,2006,2002,1999,9954090,11387739,575,1730,1204,1374,22,1636
Oil tanker,75,55,2005,2007,2007,2007,5716605379,9670930945,3178,2737,2678,2705,786,60809
Miscellaneous - fishing,33,21,1982,1987,1991,1991,69489021,47789196,2606,5903,4217,4988,122,9140
Vehicle,55,44,2008,2008,2008,2007,4178320992,1341580221,1373,1346,1294,1292,262,20331
Liquefied gas tanker,36,12,2011,2011,2013,2013,1626398458,1876364050,1142,2096,1773,1770,230,17725
Offshore,7,5,1996,1994,2005,2002,13531382,13816703,1235,2329,2012,2080,51,3844
Service - other,14,11,2001,2001,2001,2001,106619242,133930025,1526,3191,3847,4628,66,4984
Refrigerated bulk,28,21,1993,1993,1993,1993,407675414,450537765,1626,1976,1959,2008,256,19407
Cruise,45,11,1998,1994,2003,2003,1642861243,175135146,338,698,645,636,384,29728
Ro-Ro,18,4,2012,2012,2012,2012,1152940647,1054763171,1395,1293,1263,1265,135,10427
Other liquids tankers,1,1,1958,1958,1958,1958,34086,77084,34,34,34,34,14,1075
