dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Miscellaneous - fishing,51,12,1985,1987,1996,1993,75671488,38001425,1414,3827,2366,2644,76,5739
Chemical tanker,75,43,2008,2010,2008,2008,1072052465,1730552531,571,597,567,569,258,19977
Container,215,36,2001,2002,2000,2000,2819533564,3618650458,527,541,555,555,550,42490
Bulk carrier,59,47,2010,2010,2010,2010,953232869,1633498096,557,538,551,553,115,8912
General cargo,36,15,2009,2008,2010,2010,163911456,232499566,508,563,560,557,43,3297
Oil tanker,81,19,1999,2006,2007,2007,603923629,1014127923,526,600,541,541,234,18060
Offshore,3,2,1994,2000,2010,2001,777827,754921,334,464,504,362,3,201
Liquefied gas tanker,2,2,2006,2006,2010,2010,42506139,49744223,615,615,610,610,9,661
Refrigerated bulk,15,8,1995,1994,1995,1995,58194127,65740523,526,529,527,527,42,3184
Ro-Ro,1,1,2011,2011,2011,2011,46436743,42696718,916,916,916,916,5,387
Service - other,24,3,2009,2010,2008,2008,91270085,72477773,1192,2467,2574,2313,30,2277
Cruise,8,3,1973,1986,2003,1998,39775164,4597915,219,427,633,528,9,728
Service - tug,8,2,2015,2015,2015,2015,1662934,1307432,1031,1041,1490,1493,11,853
