int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Piriapolis,1348,1116,2010,2010,2010,2010,31675241131,55690604803,369,566,719,770,3373,258516
Montevideo,1365,527,2004,2003,2009,2010,50678341094,57407294659,519,2558,904,1037,6191,476479
Punta Carretas,931,667,2009,2010,2011,2011,21625479004,32904338339,222,970,599,683,3033,232404
Punta Del Este,84,55,2006,2006,2008,2010,4460346811,3484554665,416,1376,860,1427,796,61549
Nueva Palmira,304,216,2004,2008,2011,2011,12312609766,20052194319,303,1946,2007,2012,1231,94896
La Paloma,97,55,2012,2010,2010,2010,40539289276,78017454305,1035,5057,5155,5318,2764,213813
Fray Bentos,42,23,2007,2009,2012,2012,871305549,1352758396,216,1793,1594,1602,119,9197
Jose Ignacio,29,29,2009,2009,2010,2011,3328320826,6262090028,1164,1845,1994,2044,343,26576
Carmelo,88,56,2006,2006,2007,2007,2226651134,3560641839,902,1031,1211,1240,260,20060
Juan Lacaze,74,68,2011,2011,2012,2012,4894794611,7737085172,789,2223,1691,1849,460,35590
Colonia,11,11,2001,2001,2016,2016,533089640,540416940,1038,2652,2359,2344,65,4910
Paysandu,1,1,1989,1989,1989,1989,753995,862336,274,274,274,274,0,12
Nuevo Berlin,5,2,1991,1992,1985,1985,7435787,10017123,448,414,670,680,3,220
Mercedes,1,1,2004,2004,2004,2004,1200540,632766,1070,1070,1070,1070,1,64
