dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,187,160,2012,2012,2012,2012,913675934,1538930260,188,180,177,177,142,10967
Container,48,30,2005,2009,2010,2010,197130013,221218536,99,81,79,78,57,4399
General cargo,129,48,1994,2003,1999,2000,332049414,460107345,202,203,197,194,66,5025
Miscellaneous - fishing,73,17,1977,1979,1978,1978,157550024,107100089,976,4046,2758,2918,197,14787
Chemical tanker,51,42,2011,2011,2011,2011,225941360,369549714,143,274,195,194,58,4430
Service - other,33,7,2004,1998,2008,2008,212702857,227057252,671,778,1204,1184,43,3228
Oil tanker,126,24,2000,2008,2005,2005,545235448,981709180,145,440,203,202,230,17462
Service - tug,585,15,2007,2001,2004,2004,42769856,35101559,92,338,289,256,197,14775
Vehicle,7,6,2010,2010,2009,2009,45568026,14511122,71,86,106,107,2,140
Cruise,16,10,2004,2005,2007,2006,201995690,21823231,139,294,189,195,275,21310
Offshore,15,5,1976,1987,2014,2012,43678080,34718094,151,3175,3877,2359,62,4651
Refrigerated bulk,6,4,1989,1990,1987,1987,14015018,14223191,94,199,229,229,36,2698
Ro-Ro,3,2,1995,1997,1992,1992,1944750,1112542,125,135,122,123,9,687
