int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,230,62,1993,1998,2007,2005,3063281853,300214419,151,202,222,219,694,53591
Chemical tanker,54,9,2008,2008,2007,2007,76821922,121595271,167,244,240,242,51,3863
Container,110,17,2007,2008,2008,2008,198020198,235615844,118,153,137,136,49,3743
Oil tanker,35,7,1999,2000,2000,2000,37807438,60523136,172,262,237,236,28,2148
Ferry-pax only,4,3,1983,1977,1996,1961,211780,45266,139,232,247,118,4,300
General cargo,115,24,1990,1992,2001,2001,121734988,148010547,125,327,175,180,50,3800
Offshore,49,7,1985,1999,1999,1992,4992807,4525811,103,308,142,154,25,1855
Service - tug,5,4,2001,1997,2018,2019,1238696,1096353,124,150,225,228,0,28
Bulk carrier,11,8,2009,2007,2013,2013,244417435,414189801,236,825,1268,1420,29,2198
Refrigerated bulk,26,7,2003,2001,2002,2002,59683456,65874187,153,189,170,170,26,2012
Vehicle,24,2,2003,2003,2003,2002,114149054,38806072,410,259,317,341,18,1390
Service - other,3,3,2009,2009,2012,2011,9113335,5098689,852,5101,1939,1643,21,1555
Ferry-RoPax,29,3,1965,1966,1964,1964,2801319,687280,147,349,183,183,4,305
Liquefied gas tanker,41,2,2009,2008,2008,2008,40459366,41665603,177,223,237,237,25,1903
