int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,230,62,1993,1998,2007,2005,3648142803,368114003,147,265,264,269,800,61736
Container,110,17,2007,2008,2008,2008,393785974,479087060,97,299,272,276,93,7136
Chemical tanker,54,9,2008,2008,2007,2007,73104179,115050220,157,237,229,229,45,3380
Oil tanker,35,7,1999,2000,2001,2001,42691426,66719861,152,374,268,260,24,1807
Ferry-pax only,4,3,1983,1977,1996,1972,5455538,939778,6945,5567,6351,2458,21,1591
General cargo,115,24,1990,1992,2002,2002,257682464,307021140,368,446,371,374,106,8123
Offshore,49,7,1985,1999,2003,1997,4772192,4001965,101,274,136,136,23,1714
Service - tug,5,4,2001,1997,2017,2018,645252,565623,127,104,117,118,0,17
Bulk carrier,11,8,2009,2007,2009,2009,761254595,1216547499,2203,3277,3950,4171,91,7020
Vehicle,24,2,2003,2003,2003,2001,172464355,59228264,601,396,478,520,27,2062
Refrigerated bulk,26,7,2003,2001,1998,1999,61577221,67260971,108,302,176,173,32,2436
Service - other,3,3,2009,2009,2014,2014,30914689,16809552,1102,19076,6576,5416,96,7222
Ferry-RoPax,29,3,1965,1966,1965,1965,6401056,1588058,148,418,417,423,10,787
Liquefied gas tanker,41,2,2009,2008,2008,2008,42913239,44207730,181,189,251,252,26,2013
