int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Sao Tome,120,64,2004,2002,2008,2008,4507619296,5595698465,701,1904,2109,1978,624,44664
Santo Antonio,10,8,1990,1994,2012,2012,2001013731,3872415102,1087,2964,6710,6982,128,9900
