int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,14,10,2007,2007,2007,2007,2029369450,3823366919,900,2133,2288,2283,141,10912
General cargo,56,19,2007,2005,2006,2006,921758133,1217443780,713,1504,1722,1734,182,14008
Container,13,7,2004,2004,2005,2005,408390997,508649761,3385,2222,2190,2162,90,6935
Ro-Ro,1,1,2017,2017,2017,2017,612083,742840,434,434,434,434,1,50
Liquefied gas tanker,6,4,2005,2006,2009,2009,1560438266,1285032685,294,2973,3481,3410,153,9290
Cruise,2,2,2007,2007,2011,2012,55324122,5716717,605,605,647,659,10,748
Miscellaneous - fishing,11,10,1994,1994,2006,2007,151693470,125244809,3398,6516,7710,8263,81,6059
Offshore,2,2,1982,1982,1983,1981,1039355,949827,1991,1991,697,573,4,268
Bulk carrier,3,3,2001,2001,1998,1998,337130927,639811141,2707,2423,2839,2852,27,2103
Service - other,2,2,2006,2006,2002,2002,63446680,44385165,2905,2905,3850,3875,20,1521
Other liquids tankers,1,1,1978,1978,1978,1978,335112,346668,1156,1156,1156,1156,4,285
Service - tug,2,2,1972,1972,1974,1975,116658,91241,253,253,224,314,0,21
Ferry-pax only,6,1,1983,1983,1983,1983,1098086,189156,470,470,409,409,3,214
Chemical tanker,10,5,2006,2007,2010,2011,140621526,222753177,772,1934,1977,1999,40,3028
Vehicle,1,1,2006,2006,2006,2006,78367591,25084377,1278,1278,1278,1278,3,200
