Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Uruguay,95,51,937,671,1995,1994,1996,1993,1417,3453,1591,1974,135,532,646,801,43,76,93,128,374.8,28459,29005,2781614,6635404,7657861,29280,73904,87349
Argentina,29,19,1241,133,1998,1997,2001,1999,637,1056,810,889,39,120,86,107,10,16,10,11,307.9,23793,24250,588782,2571088,3130032,20303,80896,93448
Chile,22,18,234,121,1997,1997,1997,1991,696,1632,1117,1245,128,344,446,535,35,66,53,49,88.9,6723,6852,574676,1449029,1827542,26122,67528,83885
South Georgia and the South Sandwich Islands,19,16,194,97,1997,1997,1995,1994,3253,3685,3083,2421,432,785,1242,1101,31,58,50,45,79.1,5955,6070,784589,1530308,1699394,41294,87883,103818
Spain,17,15,410,440,1993,1994,1995,1997,6250,6403,5819,5909,544,632,800,770,63,194,169,140,158.1,11948,12178,1379468,3084729,3495522,81145,195063,226880
Antarctica,12,7,112,66,1991,1991,1991,1989,855,1281,1212,1111,93,155,248,232,31,57,50,42,48.1,3663,3734,348841,741289,867891,29070,64973,76249
Brazil,8,5,64,45,1992,1991,1991,1990,2531,2973,3077,3231,287,370,471,513,56,64,79,72,27.1,2045,2085,313519,688135,776991,39190,91527,107812
South Africa,7,7,57,54,2003,2003,2001,1999,4449,4513,3356,3463,461,579,505,453,9,79,238,273,32.3,2441,2488,250401,551051,623405,35772,81061,92933
"Saint Helena, Ascension and Tristan da Cunha",7,6,499,373,2004,2004,2003,2003,3471,3528,3529,3552,259,264,267,289,70,66,62,59,99.4,7701,7849,401240,841055,998886,57320,150824,171931
"Korea, Republic of",2,2,76,87,1994,1994,1998,1998,5673,5673,9766,10052,465,465,807,808,15,15,21,21,28.3,2164,2206,260419,569109,641103,130210,277743,300178
Singapore,2,2,79,61,2003,2003,1996,1997,9933,9933,9499,9547,825,825,683,700,6,6,7,7,22.0,1685,1718,226694,497891,562621,113347,250113,279635
New Zealand,1,1,20,3,2001,2001,2001,2001,13480,13480,13480,13480,2451,2451,2451,2451,105,105,105,105,8.8,659,672,18960,42057,47814,18960,44621,52896
Togo,1,1,45,50,2000,2000,2000,2000,6112,6112,6112,6112,589,589,589,589,54,54,54,54,19.3,1470,1498,146963,321122,361713,146963,313177,338137
Mauritius,1,1,6,3,1995,1995,1995,1995,6013,6013,6013,6013,548,548,548,548,18,18,18,18,1.0,73,75,19206,42603,48435,19206,45201,53583
Micronesia (Federated States of),1,1,3,2,2013,2013,2013,2013,2103,2103,2103,2103,382,382,382,382,2,2,2,2,0.6,46,46,14628,32448,36890,14628,34426,40810
Morocco,1,1,12,18,2009,2009,2009,2009,3063,3063,3063,3063,469,469,469,469,58,58,58,58,5.1,391,399,28385,87908,112124,28385,97616,125970
Cameroon,1,1,36,40,1999,1999,1999,1999,4941,4941,4941,4941,321,321,321,321,4,4,4,4,11.9,907,925,118386,258680,291379,118386,252280,272387
"Taiwan, Province of China",1,1,11,8,2004,2004,2004,2004,11418,11418,11418,11418,1065,1065,1065,1065,5,5,5,5,8.9,667,680,53298,118226,134411,53298,125435,148696
Ecuador,1,1,59,65,1998,1998,1998,1998,7967,7967,7967,7967,1615,1615,1615,1615,74,74,74,74,34.2,2587,2636,191367,418147,471003,191367,407802,440304
Japan,1,1,0,0,2015,2015,2015,2015,366,366,366,366,40,40,40,40,4,4,4,4,0.2,17,17,1472,4222,6067,1472,4797,6899
Hong Kong,1,1,121,229,2010,2010,2010,2010,2173,2173,2173,2173,216,216,216,216,22,22,22,22,7.9,614,625,118322,249175,274393,118322,290616,363236
United Kingdom of Great Britain and Northern Ireland,1,1,28,15,1995,1995,1995,1995,6865,6865,6865,6865,624,624,624,624,71,71,71,71,17.6,1357,1383,102227,209748,226016,102227,227473,256849
