Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Uruguay,99,56,1079,816,1994,1991,1996,1996,2612,5248,1948,2821,572,1139,965,1314,45,1086,370,462,589.1,44558,45414,3693086,8987729,10489564,37304,96196,115290
Argentina,23,13,929,84,2001,1999,2003,2003,602,769,688,705,39,73,60,67,9,12,10,10,228.2,17657,17996,392374,1617393,1845606,17060,64185,70288
Spain,23,17,1160,957,1995,1997,1997,1997,12807,11404,7322,7531,2057,1689,1345,1386,38,185,115,103,340.5,25890,26387,3433889,7580529,8678042,149300,359936,424183
South Georgia and the South Sandwich Islands,22,16,149,112,1996,1995,1993,1991,910,1826,1429,1815,88,257,462,618,20,39,46,50,74.5,5631,5739,679401,1396734,1626643,30882,67187,80188
Chile,21,17,330,174,1995,1996,1994,1990,690,4071,952,1549,63,668,1204,1802,32,125,107,159,127.3,9671,9857,901730,2155150,2437910,42940,105042,120702
Peru,17,17,153,183,1987,1987,1992,1991,8933,9087,6412,6984,2518,3232,2745,2876,98,1014,647,659,220.9,16608,16927,1028647,2268417,2569462,60509,139639,162745
Antarctica,15,10,132,79,1989,1988,1990,1990,932,1781,1254,1203,138,313,378,331,12,25,32,40,71.0,5416,5520,369955,847104,1063022,24664,58483,72068
Brazil,8,7,131,134,1992,1992,1991,1991,2054,2916,2576,2455,604,668,877,824,8,14,13,13,80.1,6055,6172,540134,1188321,1344221,67517,150675,170289
South Africa,7,7,178,159,2003,2003,1996,1996,7830,7239,5527,5660,2326,1711,1247,1233,25,95,144,171,97.0,7315,7455,640262,1408733,1593639,91466,204244,230959
Mauritius,7,7,163,169,2006,2006,2001,2000,10550,11377,8499,8241,2491,2038,1564,1482,8,8,8,8,104.6,7908,8060,742773,1636841,1853470,106110,239396,273327
"Taiwan, Province of China",5,5,70,60,2013,2013,2013,2014,15420,13431,13475,12740,2877,2689,2829,2794,84,228,263,255,48.9,3669,3739,419121,929692,1056966,83824,197277,233859
New Zealand,4,4,47,14,2010,2010,2008,2014,5296,7073,6834,5780,584,1075,1394,929,1858,1793,1645,2199,30.9,2318,2362,98157,217732,247539,24539,57752,68462
China,3,3,100,172,2008,2008,2010,2010,1456,5798,1614,1560,120,1018,538,374,71,69,118,124,16.4,1258,1282,208272,450280,503910,69424,165379,199525
Cabo Verde,2,2,47,15,1988,1988,1987,1990,4457,4457,4453,4462,386,386,374,398,50,50,40,60,18.7,1441,1469,89829,267647,431968,44915,141101,213115
Namibia,2,2,42,22,2000,2000,2002,1997,7462,7462,5516,6712,1238,1238,1150,1471,604,604,554,737,15.8,1183,1206,155516,335798,375062,77758,179467,209297
Germany,1,1,7,1,2006,2006,2006,2006,7430,7430,7430,7430,1984,1984,1984,1984,170,170,170,170,8.1,610,622,10266,21063,22696,10266,22843,25793
Marshall Islands,1,1,2,1,2013,2013,2013,2013,1101,1101,1101,1101,316,316,316,316,8,8,8,8,0.5,38,39,7656,16983,19308,7656,18018,21360
"Korea, Republic of",1,1,0,0,1990,1990,1990,1990,565,565,565,565,171,171,171,171,13,13,13,13,0.6,42,43,2565,5690,6468,2565,6037,7156
Gibraltar,1,1,138,79,2002,2002,2002,2002,5954,5954,5954,5954,428,428,428,428,8,8,8,8,24.1,1869,1905,84838,156330,182271,84838,199401,211668
Japan,1,1,0,0,2015,2015,2015,2015,274,274,274,274,48,48,48,48,3,3,3,3,0.1,11,11,1100,3156,4536,1100,3586,5158
Panama,1,1,23,34,2009,2009,2009,2009,5854,5854,5854,5854,1001,1001,1001,1001,594,594,594,594,18.1,1374,1400,54246,168002,214281,54246,186554,240741
"Saint Helena, Ascension and Tristan da Cunha",1,1,27,14,1991,1991,1991,1991,4713,4713,4713,4713,543,543,543,543,10,10,10,10,16.4,1233,1256,95932,196832,212099,95932,213466,241033
United Kingdom of Great Britain and Northern Ireland,1,1,158,91,2002,2002,2002,2002,6821,6821,6821,6821,467,467,467,467,27,27,27,27,30.0,2321,2366,97202,179113,208834,97202,228460,242515
Ecuador,1,1,59,56,1989,1989,1989,1989,4770,4770,4770,4770,568,568,568,568,12,12,12,12,27.5,2095,2136,165750,362173,407954,165750,353212,381363
Poland,1,1,51,18,1988,1988,1988,1988,8037,8037,8037,8037,912,912,912,912,669,669,669,669,12.4,935,953,127593,261794,282099,127593,283917,320582
