dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,9,7,2004,2004,2005,2005,21331686,37322063,80,109,106,106,12,947
Chemical tanker,5,3,2010,2010,2009,2009,1797758,2712843,57,66,67,67,4,305
Cruise,1,1,1972,1972,1972,1972,4747854,1163171,1057,1057,1057,1057,54,4087
General cargo,2,2,1988,1988,2006,2007,336038,473221,47,47,52,52,0,15
Ferry-pax only,1,1,2011,2011,2011,2011,41703,3595,60,60,60,60,0,5
