int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,154,29,2007,2007,2008,2008,813658669,959970654,274,384,429,414,193,14792
Liquefied gas tanker,46,3,2009,2009,2009,2009,39466901,40564692,147,209,204,204,28,2103
Chemical tanker,146,25,2009,2008,2009,2009,904335840,1495534951,287,1029,840,873,248,18948
Oil tanker,158,72,2006,2008,2011,2011,8532287450,15864446358,531,1747,1906,1960,975,75195
Bulk carrier,8,7,2012,2012,2012,2012,56674763,75794664,391,487,451,439,9,701
Refrigerated bulk,50,7,2003,2001,2003,2003,266293115,294874028,211,289,396,395,119,9074
Service - tug,55,15,1978,1980,1987,1988,8732126,6691439,381,689,593,632,31,2342
Cruise,431,83,1997,1999,2004,2003,5791674488,564131610,146,195,197,197,1467,113285
Offshore,14,3,2011,2009,2012,2010,999334,563840,139,175,219,217,6,436
Vehicle,36,16,2003,2005,2006,2005,212088088,66107519,123,153,195,191,23,1804
Ferry-RoPax,136,5,2005,1975,2004,1998,22681416,2777526,173,424,234,242,37,2796
General cargo,116,32,1995,1993,2001,2000,161120853,207234796,165,256,211,222,61,4667
Miscellaneous - fishing,10,1,1955,1955,1955,1955,109422,95083,62,62,55,55,3,230
Ferry-pax only,100,1,2011,2011,2011,2011,16349717,1409458,185,185,235,235,21,1595
Ro-Ro,1,1,1993,1993,1993,1993,1633576,1857018,250,250,250,250,1,76
Service - other,1,1,1995,1995,1995,1995,6331291,2304528,513,513,513,513,2,150
