int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,303,191,2007,2008,2010,2010,49857697323,94896601689,612,2527,3141,3223,4412,340627
Vehicle,43,25,2006,2006,2005,2005,233239107,76719403,84,123,122,121,19,1447
Chemical tanker,63,38,2004,2006,2007,2007,581022837,952796712,212,839,574,573,238,18261
Service - tug,13,7,2008,2009,2010,2009,7451640,4495335,388,1721,845,669,23,1742
Bulk carrier,56,36,2006,2008,2012,2012,3419886730,6134705200,325,1969,2890,3134,362,27985
General cargo,93,37,1997,2002,2002,2002,423494967,593257075,172,590,638,621,109,8312
Cruise,329,71,2000,2003,2005,2004,16658483923,1521891954,433,482,567,525,3235,250081
Container,166,28,2007,2007,2007,2007,1077737120,1319296446,209,508,438,435,281,21552
Offshore,41,22,1991,1996,2007,2007,224632781,251954723,634,2232,1233,1274,167,12585
Refrigerated bulk,33,10,1994,1995,1994,1994,210694153,229179434,557,443,506,506,109,8259
Liquefied gas tanker,25,14,2007,2008,2011,2011,546588844,621418712,764,1304,1273,1255,101,7695
Ferry-RoPax,1,1,1974,1974,1974,1974,48781,12154,55,55,55,55,1,55
Ro-Ro,1,1,2010,2010,2010,2010,232074,141263,67,67,67,67,0,14
Service - other,4,3,2002,2000,2001,2004,19162705,13439432,1011,18997,2819,1835,33,2480
