Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,380,4,928,621,1996,1997,1996,1996,213,214,250,248,19,18,26,26,8,10,11,12,282.9,21777,22196,1388029,3520343,3974849,3653,9414,10602
General cargo,327,5,233,178,2007,2004,2013,2011,210,201,325,328,24,25,118,119,16,15,30,31,81.0,6162,6280,391104,1134966,1596869,1196,4357,5830
Miscellaneous - fishing,209,28,594,252,1987,1993,1997,1997,892,1798,2191,2044,139,381,1330,1235,31,48,188,194,298.5,22416,22846,1772906,3932648,4471023,8483,19964,23666
Cruise,200,21,670,113,1986,1985,1986,1983,210,239,270,268,18,20,31,31,7,8,10,10,279.3,21414,21825,355192,2489570,4133386,1776,11298,17112
Ferry-pax only,194,2,123,10,1990,1978,1992,1991,180,365,315,320,18,120,64,77,1,9,37,41,94.6,7105,7241,289829,791614,1023101,1494,4092,5413
Chemical tanker,182,2,198,226,2007,2007,2007,2007,269,261,347,340,32,33,103,101,12,12,22,23,148.6,11289,11506,809557,2034524,2507962,4448,13087,16045
Service - other,155,9,44,28,1979,1984,1986,1978,191,426,243,267,28,120,206,231,26,49,75,62,105.3,7905,8057,193528,397077,427875,1249,2778,3137
Ferry-RoPax,52,1,145,12,2007,2007,2007,2007,186,186,240,240,18,18,49,49,8,8,13,13,48.2,3681,3751,76306,188699,231535,1467,3132,2853
Service - tug,38,2,2,1,1971,1969,1970,1970,150,204,196,199,21,57,108,108,53,35,127,122,10.6,800,815,27220,64366,86183,716,1850,2497
Refrigerated bulk,4,1,26,30,1983,1983,1983,1983,3219,3219,4919,4919,404,404,1822,1822,62,62,235,235,45.6,3421,3487,89024,194522,219111,22256,47427,51207
Oil tanker,1,1,7,10,2006,2006,2006,2006,248,248,248,248,30,30,30,30,79,79,79,79,4.1,315,322,8976,21554,24314,8976,27313,31941
