Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Denmark,56,10,1313,1017,2000,2000,2001,2000,2211,2527,2240,2258,160,289,178,178,50,299,146,141,411.1,31430,32033,2069363,5349810,6263708,36953,103111,119591
Iceland,43,35,684,171,1992,1991,1992,1996,1168,2020,1311,1504,103,282,245,494,15,140,90,162,201.2,15459,15756,826888,2884823,3616900,19230,64669,77773
Canada,37,22,988,230,1993,1993,1992,1990,880,2172,1692,2311,67,279,407,557,16,57,48,62,227.5,17302,17634,694510,2476644,2962833,18771,62247,70846
Faroe Islands,11,11,37,15,1987,1987,1991,1987,1506,2257,2064,2076,177,334,452,424,26,231,131,189,25.2,1893,1929,104836,230656,260849,9531,22297,26303
Indonesia,7,1,13,6,1992,1992,1992,1992,183,183,281,281,23,23,245,245,13,13,18,18,2.3,171,174,40155,82389,88779,5736,12765,14413
United Kingdom of Great Britain and Northern Ireland,5,5,137,40,1988,1988,1983,1991,1544,1601,1538,1547,140,133,120,128,8,39,35,64,41.5,3178,3239,94405,514088,710247,18881,94742,120204
Estonia,3,2,183,260,2003,2002,2005,2006,3003,3001,3082,3097,256,276,258,255,9,126,32,16,37.1,2819,2873,283149,659517,737933,94383,271278,315499
United States of America,3,3,214,57,2011,2011,2011,2011,6802,6309,6175,4562,496,444,484,362,24,29,25,37,85.6,6445,6569,116861,651419,876601,38954,211888,257591
Singapore,2,1,1,0,1992,1992,1992,1992,76,76,76,76,35,35,43,43,4,4,5,5,0.2,17,18,3091,6341,6833,1545,3438,3883
Norway,2,2,83,100,2010,2010,2009,2008,5185,5185,2791,2374,922,922,667,421,46,46,44,42,21.3,1620,1651,164718,379681,430006,82359,220751,259787
Sweden,2,1,133,203,2006,2006,2006,2006,2503,2503,2503,2503,202,202,201,201,36,36,36,36,20.4,1561,1591,181195,435120,490852,90598,275692,322408
Italy,1,1,56,6,2015,2015,2015,2015,1169,1169,1169,1169,87,87,87,87,7,7,7,7,8.3,632,644,15044,124518,166054,15044,103897,123519
Netherlands,1,1,83,124,2004,2004,2004,2004,3258,3258,3258,3258,233,233,233,233,77,77,77,77,19.3,1485,1514,23993,175705,202585,23993,207188,254696
Spain,1,1,10,21,1982,1982,1982,1982,2904,2904,2904,2904,295,295,295,295,4,4,4,4,3.1,235,240,43964,99720,120131,43964,132566,165462
Chile,1,1,45,9,1982,1982,1982,1982,7013,7013,7013,7013,524,524,524,524,9,9,9,9,12.3,943,961,36617,206801,449663,36617,211538,408836
Peru,1,1,2,0,2007,2007,2007,2007,162,162,162,162,19,19,19,19,11,11,11,11,0.7,53,54,993,2455,3012,993,2119,1930
Guinea,1,1,0,0,2015,2015,2015,2015,630,630,630,630,260,260,260,260,26,26,26,26,0.2,18,18,4525,10701,14328,4525,11685,15777
