Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Nuuk,374,63,822,445,1996,1991,1997,1999,343,1112,437,396,32,258,261,284,21,122,64,59,415.1,31483,32087,1699481,4371767,5293095,4544,12365,14948
Sisimiut,300,51,574,239,1995,1993,1996,1998,178,1105,347,330,17,220,990,907,7,60,97,102,253.2,19169,19537,1200770,3127718,3857814,4003,10811,13284
Aasiaat,206,29,255,186,1994,1994,1998,1997,280,766,329,329,32,114,103,109,15,79,64,69,136.2,10335,10533,565642,1441254,1749634,2746,7525,9141
Illulissat (Jakobshavn),193,37,392,136,1992,1992,1992,1994,222,462,311,314,22,105,105,101,7,26,23,22,171.1,13069,13320,445916,1476495,2025956,2310,7599,9869
Maniitsoq,156,23,165,100,1995,1996,1996,1996,135,691,262,266,14,235,182,167,4,61,46,37,75.8,5758,5869,326806,809299,950851,2095,5478,6492
Uummannaq Harbor,95,21,116,52,1995,1992,1997,1998,234,362,314,374,22,42,39,62,12,17,14,16,51.4,3916,3991,178760,608569,867700,1882,6713,9070
Paamuit (Frederikshab),89,20,110,65,1992,1993,1997,1998,163,768,228,215,18,296,198,156,3,15,10,12,56.1,4269,4351,203952,517151,628690,2292,6227,7519
Narsarssuaq,68,18,160,98,1994,1991,1997,2000,194,407,290,313,18,74,105,136,9,41,9,8,54.0,4140,4220,227531,666851,833988,3346,10564,12679
Qeqertarsuaq,54,21,53,20,1996,1992,1995,1997,129,308,202,287,16,55,94,149,8,9,11,14,24.4,1865,1901,85633,275729,414954,1586,5390,7588
Toqqusaq,49,6,21,12,1994,1995,2002,2002,91,395,360,326,22,89,239,196,8,6,3,3,15.8,1192,1215,58412,140550,172000,1192,3192,3975
Kangerlusuaq,47,19,117,36,1993,1992,1992,1995,175,286,236,242,17,31,31,37,14,21,19,39,55.2,4216,4297,94144,434023,707466,2003,9006,13423
Nanortalik Havn,44,16,93,47,1996,1993,1997,2001,362,515,323,311,32,163,127,135,6,54,77,65,48.7,3705,3776,150714,429078,524576,3425,10161,12163
Gronnedal (Kangilinnguit),35,17,26,10,1988,1991,1994,1995,231,245,220,191,25,40,39,45,4,11,5,6,13.9,1054,1075,46372,148768,237253,1325,4485,6678
Qasigiannguit-Christianshab,11,6,7,5,1989,1990,2005,2005,69,235,133,280,34,69,54,66,6,20,10,11,4.0,301,307,21354,51242,62718,1941,5323,6477
Nalunaq Gold Mine,9,8,12,4,1991,1989,2003,2000,523,585,464,471,65,123,84,110,7,7,9,9,7.8,590,601,19035,62207,85993,2115,7111,9384
Tasiilaq,7,6,11,6,1985,1988,1994,1997,546,527,531,548,60,72,48,60,12,15,17,16,5.3,400,407,26666,75266,111024,3809,11907,16660
Pituffik (Thule Air Base),3,2,28,12,2010,2012,2012,2016,680,935,830,1107,44,59,57,71,22,37,36,49,8.0,616,628,25580,71333,95350,8527,29144,34744
Kuummiut,2,1,7,7,2006,2006,2006,2006,1377,1377,1377,1377,156,156,179,179,15,15,9,9,2.7,207,211,24902,62581,77144,12451,36632,44913
