Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Nuuk,363,55,780,431,1996,1992,1998,2000,235,1092,417,379,24,287,791,588,9,55,74,60,384.9,29183,29744,1663582,4169342,5001794,4583,12349,14870
Sisimiut,304,52,532,221,1996,1993,1996,1998,209,841,325,313,21,184,257,247,11,47,74,75,258.5,19578,19954,1069093,2866986,3634985,3517,9779,12285
Aasiaat,208,32,249,173,1994,1993,1997,1998,201,1032,320,305,22,208,416,470,13,62,77,63,128.4,9718,9905,677747,1662678,1987166,3258,8550,10303
Illulissat (Jakobshavn),185,36,338,140,1992,1990,1992,1994,213,380,303,342,25,58,58,69,7,20,22,26,143.2,10927,11137,429418,1385990,1900567,2321,7516,9822
Maniitsoq,159,24,153,92,1995,1996,1996,1996,149,473,242,244,17,193,71,61,6,178,50,47,89.8,6815,6946,288617,726690,862889,1815,4836,5759
Uummannaq Harbor,92,21,126,57,1995,1991,1996,1994,272,669,384,415,46,113,95,121,25,60,58,122,63.5,4823,4916,213487,638416,909509,2321,7330,9944
Paamuit (Frederikshab),87,19,111,66,1991,1993,1998,1998,198,433,228,223,19,58,45,39,12,56,41,34,46.9,3574,3643,184255,479153,581482,2118,5871,7029
Narsarssuaq,67,19,166,98,1993,1992,1994,1996,323,431,318,327,31,65,40,42,4,49,25,20,59.0,4529,4616,250368,714569,866333,3737,10987,12970
Qeqertarsuaq,55,22,48,17,1997,1993,1994,1996,180,259,184,240,18,34,43,64,12,35,34,74,25.8,1962,1999,62097,228662,368866,1129,4323,6464
Nanortalik Havn,54,20,154,79,1997,1994,1997,2000,359,383,410,413,32,48,126,108,18,25,20,22,60.3,4617,4706,218213,657821,819709,4041,12595,15181
Toqqusaq,48,6,11,7,1994,1995,1996,1997,87,250,201,193,10,54,84,63,28,32,110,117,17.3,1301,1326,36839,88435,109194,767,2046,2568
Kangerlusuaq,46,18,99,23,1991,1991,1989,1989,166,222,205,209,16,21,20,21,5,10,7,11,41.3,3172,3233,70841,343507,539156,1540,7006,10066
Gronnedal (Kangilinnguit),35,17,31,13,1988,1991,1996,1996,239,341,262,256,23,94,81,87,22,69,45,49,20.3,1530,1560,59106,179017,269923,1689,5412,7692
Tasiilaq,16,9,101,38,1995,1991,1993,1999,506,726,573,579,42,71,49,55,5,20,7,12,35.0,2689,2740,97235,399480,525071,6077,24147,29536
Qasigiannguit-Christianshab,10,5,13,5,1989,1989,2007,2006,250,268,284,357,22,33,32,49,15,53,16,16,5.8,442,450,21970,53903,66414,2197,5937,7003
Nalunaq Gold Mine,7,6,7,2,1995,1993,2002,2001,176,239,186,217,24,56,49,95,9,8,9,9,3.5,263,268,9503,31235,47570,1358,4684,6605
Pituffik (Thule Air Base),4,3,47,17,2006,2005,2009,2014,1014,1122,1110,1434,150,192,215,317,17,16,18,18,13.8,1059,1079,39426,119180,174986,9856,35191,45358
Kuummiut,2,1,3,3,2006,2006,2006,2006,546,546,546,546,62,62,62,62,10,10,11,11,1.3,101,103,9876,24819,30594,4938,14528,17812
