int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,64,21,2008,2009,2011,2011,65563801,92946836,99,370,409,389,29,2212
Ferry-pax only,2219,60,1997,2000,1998,1997,419004739,40477830,265,379,336,338,758,56939
Service - other,3,3,2004,2004,1996,1993,31420901,23257615,301,1236,402,305,9,654
General cargo,89,17,2003,2002,2000,1999,136505784,183974718,464,610,787,768,26,1981
Bulk carrier,29,7,1998,2005,1994,1994,966942483,1561980183,590,469,1053,1041,47,3606
Container,14,5,2000,2000,2001,2001,163055603,176218458,262,230,321,322,18,1349
Liquefied gas tanker,67,12,1999,2005,1999,1998,54551315,54886795,81,683,384,418,77,5779
Oil tanker,15,3,2012,2010,2012,2012,12319915,15308881,106,401,608,591,50,3731
Miscellaneous - fishing,1,1,2014,2014,2014,2014,15410,7602,11,11,11,11,0,2
Offshore,4,3,2004,2003,2005,2007,3652438,3431865,298,351,377,382,3,221
Service - tug,2,2,2005,2005,2003,2003,1755477,1767441,394,394,371,381,2,116
