int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,90,17,2006,2006,2010,2011,776668063,1309111276,449,1063,1029,1086,221,16931
General cargo,106,28,1999,2004,2006,2006,276414811,350903752,93,934,640,619,75,5741
Vehicle,40,17,2003,2003,2004,2004,311502390,100105742,113,173,232,233,24,1873
Refrigerated bulk,11,6,2002,2003,2002,2003,22266465,24599449,209,156,150,150,10,748
Offshore,41,9,1983,1988,1985,1982,5479765,7820102,204,213,186,185,11,842
Cruise,411,87,2002,2000,2006,2005,9554961612,924278186,143,376,310,319,2126,164262
Chemical tanker,55,30,2008,2009,2010,2010,838096138,1380698378,440,997,1040,1049,194,14894
Service - tug,17,5,1990,1994,1999,1999,1811379,1309999,245,216,377,357,5,362
Ferry-pax only,2,1,1998,1998,1998,1998,170255,7079,177,177,177,177,0,8
Bulk carrier,31,4,2008,1992,2004,2003,25825548,39623323,131,177,178,179,8,599
Ferry-RoPax,16,3,1973,1980,1994,1990,11857184,1072801,87,947,807,350,4,294
Ro-Ro,59,5,1991,1989,1992,1992,31643275,36831282,89,312,94,96,25,1916
Container,79,9,2007,2006,2007,2007,93921808,120704710,95,148,125,121,32,2427
Liquefied gas tanker,31,1,2007,2007,2007,2007,28304553,29341024,149,149,191,191,21,1603
