int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,90,17,2006,2006,2007,2007,514222150,833164409,339,756,681,691,148,11278
General cargo,106,28,1999,2004,2008,2008,341880168,424234120,174,844,792,749,77,5902
Vehicle,40,17,2003,2003,2004,2004,265042244,85123195,143,176,198,198,22,1727
Refrigerated bulk,11,6,2002,2003,2002,2002,166278709,183708169,1101,1108,1118,1118,71,5460
Offshore,41,9,1983,1988,1994,1986,9221800,9881267,195,392,312,233,17,1291
Cruise,411,87,2002,2000,2007,2006,10052132326,957929677,204,368,326,330,2158,166912
Chemical tanker,55,30,2008,2009,2009,2009,634608406,1041235543,315,737,788,791,162,12331
Service - tug,17,5,1990,1994,2002,2004,2076053,1942174,244,820,432,529,11,800
Ferry-pax only,2,1,1998,1998,1998,1998,262052,10896,272,272,272,272,0,8
Bulk carrier,31,4,2008,1992,2009,2009,115412316,176564092,910,720,795,798,28,2143
Ferry-RoPax,16,3,1973,1980,1992,1986,6795012,719051,99,523,462,235,4,271
Ro-Ro,59,5,1991,1989,1992,1992,37761550,44016365,74,402,113,115,42,3189
Container,79,9,2007,2006,2007,2007,346910370,454727004,424,447,461,458,99,7645
Liquefied gas tanker,31,1,2007,2007,2007,2007,28447428,29489131,149,149,192,192,18,1370
