Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Ferry-pax only,137,3,3,5,2004,2000,2002,1991,86,86,119,184,11,10,13,8,23,17,631,2278,22.0,1654,1686,386459,787061,991453,2821,6560,8648
Container,77,22,2111,2623,2004,2003,2002,2002,948,1272,1489,1471,83,116,184,184,63,63,69,68,451.4,34840,35509,2335948,8349962,9163183,30337,110243,129552
General cargo,40,8,135,180,2008,2007,2008,2008,361,493,533,535,32,57,103,102,70,62,74,74,44.3,3399,3464,260082,772764,1070572,6502,26727,33914
Bulk carrier,11,7,469,801,2010,2010,2013,2013,805,1981,2553,2657,343,344,579,585,81,83,36,35,51.6,3982,4059,223286,636393,863558,20299,94294,119023
Chemical tanker,10,1,280,468,2014,2014,2014,2014,844,844,936,936,126,126,138,138,16,16,21,21,38.8,3009,3067,90233,660800,761890,9023,77920,95787
Liquefied gas tanker,8,2,30,34,2011,2008,2008,2007,826,1008,898,924,77,98,117,120,20,20,19,20,10.0,763,778,25487,73840,81543,3186,17443,22937
Cruise,6,3,128,22,1983,1994,1982,1978,844,688,701,733,74,65,73,73,8,8,8,8,33.3,2581,2630,58070,480650,640980,9678,66841,79465
Ro-Ro,5,3,141,72,2007,2008,2013,2013,663,1159,2901,2794,85,118,221,221,23,24,23,23,24.4,1885,1921,79213,158561,173384,15843,37275,39949
Other liquids tankers,1,1,27,31,2009,2009,2009,2009,888,888,888,888,51,51,51,51,39,39,39,39,4.4,344,350,15926,45475,98043,15926,55175,89157
Oil tanker,1,1,787,1545,2011,2011,2011,2011,4780,4780,4780,4780,422,422,422,422,0,0,0,0,41.7,3228,3290,367344,619145,644565,367344,996802,1248625
Service - tug,1,1,1,0,2011,2011,2011,2011,1901,1901,1901,1901,1932,1932,1932,1932,3,3,3,3,2.1,157,160,10699,25301,33877,10699,27628,37302
Service - other,1,1,1,1,1973,1973,1973,1973,797,797,797,797,210,210,210,210,5,5,5,5,0.6,45,46,3609,7406,7980,3609,8032,9069
