Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Bulk carrier,4622,1815,456507,828960,1999,2010,2010,2010,1587,3917,3015,3090,190,411,507,510,29,123,127,127,33074.3,2540281,2589055,214522633,524186194,640143338,46413,175550,212378
Container,1707,421,309833,341502,2007,2007,2008,2008,2846,3012,3056,3032,183,198,305,303,33,43,49,48,35995.0,2771714,2824931,217364479,589118546,670514336,127337,402195,469159
Service - tug,1004,130,212,149,1979,1981,1992,1992,195,964,427,467,30,205,481,533,13,115,178,190,528.2,39661,40422,3813030,9016667,12072830,3798,9807,13241
Chemical tanker,994,404,41230,67480,2009,2010,2010,2010,1484,2671,1973,1997,150,254,324,326,30,46,50,50,6768.0,515176,525068,21946374,113230821,131647733,22079,132022,160580
General cargo,728,332,30343,43839,2007,2007,2006,2006,2428,2943,2714,2725,210,267,410,412,49,89,94,95,4814.6,367716,374776,18796436,66588255,97593578,25819,146403,198716
Cruise,696,95,36193,3405,2003,2000,2005,2004,551,662,689,686,37,47,55,57,8,12,9,9,8260.7,622327,634276,10962574,59154240,67201588,15751,75120,80647
Oil tanker,545,324,96086,179237,2009,2009,2010,2010,2668,3309,3264,3315,247,341,527,533,41,68,67,68,9210.0,704109,717628,83356241,160003963,183837061,152947,389335,478243
Vehicle,397,229,59033,19706,2007,2007,2007,2007,2871,2661,2559,2568,203,192,282,281,10,15,16,17,3357.4,258355,263316,19955277,87981375,101891399,50265,191058,205620
Miscellaneous - fishing,167,40,403,218,1990,1984,1998,1997,128,3414,3943,3654,13,468,1068,1190,19,423,808,684,225.5,17081,17409,1531509,3397182,3862251,9171,21583,25585
Ferry-RoPax,126,10,558,96,1984,1988,1990,1981,185,1550,504,446,8,124,344,456,3,64,176,143,275.2,19911,20293,596008,1473202,1808115,4730,10099,9218
Service - other,120,39,1045,489,1991,1995,2002,2001,225,2531,2725,2402,32,368,1408,1357,19,205,473,450,339.2,25686,26179,3409833,6996229,7538861,28415,63229,71394
Ro-Ro,118,16,16070,8883,2014,2009,2015,2016,1078,1647,1592,1592,96,130,145,146,9,20,13,14,1084.7,82838,84429,9698153,19223636,21179563,82188,193347,206978
Ferry-pax only,27,5,10,2,1983,1978,1989,1976,442,479,563,726,14,84,82,143,29,56,60,84,14.8,1111,1132,127929,260539,328199,4738,11018,14526
Refrigerated bulk,11,10,820,900,1995,1995,1996,1996,7785,6245,6477,6462,560,463,538,535,22,30,27,26,299.0,22835,23273,2669939,5833946,6571391,242722,517237,558461
Liquefied gas tanker,10,9,2154,1845,2011,2011,2011,2011,2618,2945,2895,2930,222,249,284,297,36,41,39,39,255.9,16168,16478,534486,3300900,2861137,53449,429383,647410
