Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Nanaimo,1558,68,1908,749,1991,1989,1997,2000,79,1093,404,220,9,165,814,328,5,106,615,339,758.9,53763,54795,2715123,10887843,8857171,1743,4120,4795
Port Weller,971,235,3520,5361,1997,2000,2001,2001,227,237,234,235,23,46,39,37,2,21,17,16,689.2,51579,52569,3163954,7786873,10286340,3258,11651,14337
New Westminster,964,63,281,384,1975,1994,2000,2003,48,230,166,175,7,94,234,219,3,83,115,114,163.5,12272,12508,821776,2557358,2481719,852,2314,2961
Cornwall,904,247,2430,3714,2001,2003,2002,2002,130,162,159,158,19,23,32,32,6,36,39,38,503.0,37686,38409,2116217,5375692,7143478,2341,8589,10575
Quebec,892,293,6815,7243,1999,2003,2002,2004,168,330,323,292,20,86,113,140,14,54,36,48,2034.5,152886,155822,6043753,18128760,22240024,6776,23246,27631
Montreal,878,302,7125,8293,2000,2002,2003,2002,208,282,431,406,32,41,65,66,11,51,29,29,1354.5,101723,103676,6390160,17691443,21093650,7278,24026,28334
Sidney,749,27,639,493,2007,1987,2002,2004,81,2910,174,175,9,548,1572,496,2,95,178,82,436.9,30197,30777,1425032,7503665,4717445,1903,4578,6077
Port Colborne,679,184,1608,2437,1992,1998,1996,1996,76,151,149,150,18,30,38,39,4,24,14,14,279.7,20976,21379,1311918,3253140,4456985,1932,7209,8965
North Sydney,650,23,3158,970,2004,1996,2003,2004,118,782,184,180,9,135,77,76,4,134,24,52,702.7,52767,53781,5483208,13455988,16446535,8436,18211,17012
Port Aux Basques,626,16,2907,881,2004,2002,2003,2004,116,462,175,171,9,36,16,18,4,78,31,34,628.1,47129,48034,5182977,12792584,15676515,8280,17800,16374
Vancouver,498,132,1622,1597,1993,2002,2008,2010,135,587,383,240,40,213,862,242,9,80,98,136,539.0,40472,41249,1420804,3641889,4453330,2853,8211,9660
