Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
United States of America,6782,1623,146193,170747,1995,2004,2006,2006,322,1052,682,788,33,119,164,204,17,57,46,55,21112.2,1591118,1621667,91695525,271828020,321382965,13520,48263,57520
Japan,625,410,150116,193631,2008,2010,2008,2009,4400,4631,4607,4656,373,416,397,442,29,67,51,63,13069.2,1008561,1027926,80281145,222859153,267063201,128450,457162,547261
China,389,333,99293,158874,2010,2010,2010,2010,5414,5836,5945,6022,527,570,625,662,56,91,88,97,8425.3,650621,663113,50257794,142284431,168708153,129197,503630,610172
United Kingdom of Great Britain and Northern Ireland,287,183,40244,50746,2009,2009,2010,2010,2888,3287,2998,3158,248,330,340,407,25,61,44,54,3853.5,295595,301270,24956657,61717495,72579125,86957,277330,327009
Netherlands,250,188,30744,50856,2009,2008,2010,2010,3220,3620,3667,3767,294,363,504,544,42,59,73,79,3614.6,276724,282037,19980447,55021821,65753874,79922,287752,349185
"Korea, Republic of",244,189,67666,104673,2009,2010,2009,2010,4940,5291,5304,5339,430,482,481,503,15,60,75,88,5740.4,443241,451751,40148282,105037769,120357968,164542,539658,635408
Spain,221,176,24457,38309,2007,2007,2006,2007,3156,3622,3304,3259,255,339,356,360,24,74,51,48,2890.5,221909,226169,18606265,49678581,58139840,84191,279392,334377
Singapore,145,141,72889,136859,2012,2013,2013,2013,7326,8661,9349,9403,730,821,940,948,13,14,15,15,4497.1,347688,354364,30895961,72371912,83696967,213076,735948,875699
Belgium,133,86,14499,20562,2006,2009,2006,2007,3249,3289,3274,3295,264,311,288,308,29,57,46,50,1773.0,135507,138108,10701930,31626995,37057191,80466,289956,347260
Mexico,118,108,11659,19710,2011,2010,2011,2011,2784,3056,2945,2951,269,311,333,339,104,120,124,127,1170.1,89797,91521,6799708,16895153,20746891,57625,211833,257369
Brazil,115,100,23327,41058,2012,2012,2013,2013,5052,6460,6486,6590,457,597,699,707,89,163,197,200,2164.2,167131,170340,12687832,31717842,38715937,110329,428198,520315
Germany,110,64,15769,19296,2008,2010,2009,2009,3121,3531,3447,3641,214,301,337,399,27,48,41,46,1795.2,137495,140135,10279639,31140916,35121357,93451,317633,369311
France,96,76,13588,24336,2009,2009,2010,2010,3051,3284,3360,3380,318,355,419,425,66,98,97,98,1214.9,93272,95063,6492221,17199500,20052133,67627,258134,311506
Italy,91,62,16276,22564,2004,2006,2004,2004,4368,4923,4594,4663,313,402,376,400,38,90,79,91,1979.1,152322,155247,14002935,35532707,41295844,153878,471820,557774
Bahamas,87,42,5738,8605,2003,2006,2005,2005,1513,1964,1746,1790,117,182,164,173,23,34,28,29,696.7,53387,54412,5269933,13780995,15948933,60574,187092,224026
Russian Federation,83,77,22759,34890,2011,2011,2012,2012,4345,4558,4553,4537,388,430,422,441,35,48,51,49,1759.4,135699,138304,10530124,29637498,34378342,126869,482882,576579
Panama,77,76,11638,19818,2010,2010,2010,2011,4381,4578,4545,4387,382,423,511,407,39,48,45,45,1204.2,90664,92405,6725956,16679106,20511283,87350,319426,388911
Morocco,77,47,8398,11791,2010,2009,2010,2011,3271,3759,3619,3701,250,375,360,388,22,164,94,107,1105.8,84912,86542,6886543,19093742,22749737,89436,307098,365602
Gibraltar,70,66,9751,17220,2010,2010,2011,2011,3199,3748,3839,3849,278,366,504,506,10,12,13,13,831.0,63887,65114,5161495,12230019,15401778,73736,260222,317714
Indonesia,66,64,47428,90875,2010,2011,2011,2011,9852,9840,10616,10663,852,904,1022,1026,14,39,40,39,2794.2,216091,220240,20029588,43660539,50302889,303479,956753,1125991
Colombia,66,62,8559,15175,2010,2011,2010,2010,3088,3469,3252,3211,272,328,344,343,74,95,92,91,748.3,57616,58723,5538883,12627200,15226944,83922,278197,339576
Jamaica,57,24,3531,4358,2007,2008,2008,2008,1848,2118,1942,1978,134,165,143,153,26,46,39,40,447.8,34415,35075,2597517,8364012,9759699,45570,173836,210437
Iceland,55,16,1024,1030,2007,2006,2006,2008,1630,2408,1750,1732,118,304,214,168,61,52,57,68,277.6,21260,21668,1745400,4617260,5244380,31735,88687,100592
Hong Kong,52,50,14436,26638,2010,2010,2010,2010,5871,5809,5860,5857,556,556,584,588,8,15,21,21,1021.5,78939,80455,6262552,16336113,18780152,120434,475634,572240
Portugal,48,33,4862,6624,2003,2004,2002,2003,2993,2986,2944,2924,212,263,212,216,24,120,47,52,703.4,53893,54928,4614023,11970642,13945835,96125,294827,347523
Ireland,48,46,2495,3439,2007,2007,2007,2008,2809,3093,2568,2712,255,297,251,269,48,55,54,61,393.3,30117,30695,1849263,5484930,7439455,38526,158936,198870
"Taiwan, Province of China",47,40,22193,37627,2008,2009,2008,2008,5890,7117,7460,7767,508,648,797,852,36,95,116,132,1630.5,125999,128418,12406436,28803089,32630362,263967,792573,919984
Venezuela (Bolivarian Republic of),47,44,8408,15822,2008,2008,2008,2008,2573,2703,2795,2801,226,261,320,322,163,230,228,229,1253.8,96739,98596,6517544,12882448,14491846,138671,362649,442201
United Arab Emirates,44,22,24726,27110,2007,2007,2008,2008,7784,7696,7867,7919,482,517,500,513,19,40,20,22,2708.8,209522,213545,20817371,50369569,55505300,473122,1277834,1447830
Norway,43,40,3450,5273,2008,2008,2008,2009,2947,2926,3034,2985,254,261,278,278,45,79,56,55,442.4,32875,33506,2213697,7213311,8768509,51481,220870,278971
