Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Cruise,431,90,9118,893,2000,2000,2004,2003,149,542,291,292,16,45,60,62,10,14,12,12,2169.7,167744,170965,3221854,16482495,19147166,7475,33854,36910
Container,299,33,673,850,2006,2007,2008,2007,213,305,225,222,16,24,51,48,12,14,17,16,202.7,15499,15796,948982,3261102,3693336,3174,11528,13768
General cargo,115,28,480,615,1992,1995,2000,2000,410,846,614,648,28,103,130,142,14,58,42,44,151.7,11640,11864,433264,1398785,2005514,3768,17828,23814
Chemical tanker,81,22,462,718,2008,2007,2008,2008,383,1018,733,729,50,124,236,226,31,49,49,47,166.8,12686,12929,689264,2163490,2588376,8509,29763,35743
Ferry-RoPax,54,3,20,4,1965,1968,1968,1968,102,2733,681,608,15,777,3848,3754,8,6,4,4,20.1,1506,1535,149174,322730,429088,2762,6167,8789
Refrigerated bulk,53,9,1637,1804,2003,2002,2002,2002,3778,2645,2277,2273,206,172,221,221,11,13,11,11,592.8,45366,46237,5352946,11696448,13174948,100999,215228,232381
Liquefied gas tanker,47,7,789,703,2008,2006,2011,2011,230,1159,1942,1822,19,109,324,320,19,20,30,30,109.2,7198,7336,190851,1245938,1065827,4061,33739,51331
Oil tanker,37,9,543,1036,2004,2005,2010,2010,347,661,1371,1503,44,122,576,593,23,19,9,9,85.2,6476,6600,441714,641699,670426,11938,35199,45255
Vehicle,35,14,259,80,2003,2004,2006,2005,260,183,253,244,32,25,39,39,8,12,10,10,35.4,2731,2783,80624,355464,411664,2304,8756,9423
Bulk carrier,31,14,445,675,1993,2003,2011,2011,510,1441,1448,1405,122,148,216,214,53,101,90,81,66.7,5136,5235,364095,871677,1130203,11745,42603,52874
Service - other,13,11,50,30,1997,1997,1988,1991,1017,1801,1204,1292,96,283,664,870,23,106,82,61,23.7,1796,1830,210835,432587,466139,16218,36088,40748
Service - tug,4,3,0,0,1986,1990,1987,1987,246,333,339,327,64,243,398,383,22,31,22,22,0.9,65,66,5617,13283,17785,1404,3626,4896
Miscellaneous - fishing,1,1,5,2,2008,2008,2008,2008,2063,2063,2063,2063,203,203,203,203,0,0,0,0,2.5,184,188,11692,25935,29485,11692,27516,32619
