int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,2929,757,1999,2001,2002,2002,5502425266,7668381720,366,557,535,535,1621,121847
Chemical tanker,967,416,2008,2008,2009,2009,14390748981,23286120781,559,822,871,882,2588,194665
Oil tanker,639,223,2000,2007,2008,2009,15687766167,28035172010,214,842,861,871,2500,188121
Container,425,92,2004,2005,2004,2004,3426094833,3992662260,418,525,469,465,793,59344
Ro-Ro,114,23,2010,2003,2012,2011,2135463154,1061235589,953,844,745,743,464,34845
Bulk carrier,265,226,2011,2010,2011,2011,5820513609,9881473486,594,820,796,791,590,44417
Service - tug,154,63,1982,1987,1986,1988,25431371,17315360,224,344,336,336,74,5525
Miscellaneous - fishing,171,53,1982,1985,1988,1992,49901644,36335973,247,761,951,1063,157,11753
Service - other,48,34,1989,1991,2001,1999,57075216,36156262,307,1194,579,549,116,8662
Refrigerated bulk,21,20,1993,1993,1994,1994,257996010,267278718,248,1055,1441,1427,258,19434
Offshore,98,20,2007,1998,2008,2006,157113983,143267628,92,311,206,196,72,5398
Cruise,327,74,2004,1999,2008,2006,8951421790,936694550,240,363,411,412,2049,153844
Ferry-RoPax,1100,27,2000,1996,2001,1998,10484739921,1895217291,238,975,304,275,2112,156591
Liquefied gas tanker,60,14,2009,2008,2012,2011,566474545,577083571,571,543,805,816,116,8694
Vehicle,105,6,2003,2004,2004,2003,1131931094,390717816,718,664,640,648,186,13986
Ferry-pax only,3,2,2016,2015,2018,2018,3050586,240384,514,1431,2470,2126,6,446
Yacht,1,1,1958,1958,1958,1958,48543,83444,188,188,188,188,0,0
