dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,86,66,2006,2007,2004,2004,433860867,687659535,136,217,288,282,161,12088
Service - other,162,13,1993,1989,1992,1987,43684219,21790963,171,272,292,309,118,8832
General cargo,288,172,1997,1999,1999,1999,252227009,348339198,182,246,280,279,83,6267
Service - tug,211,16,1986,1986,1982,1981,15100979,8158087,130,339,230,227,82,6156
Container,37,17,2001,2004,2005,2005,156857377,183779059,164,312,260,267,42,3103
Miscellaneous - fishing,498,33,1985,1984,1982,1980,52148331,20306775,280,397,695,694,336,25219
Oil tanker,329,29,1983,2004,2004,2004,243192767,416644469,57,143,136,139,347,26089
Bulk carrier,21,18,2011,2011,2012,2012,177092735,301985239,149,244,310,313,17,1311
Liquefied gas tanker,10,4,2004,2008,2008,2008,8457360,8668213,190,165,126,125,4,314
Ferry-RoPax,181,11,2007,1998,2004,2001,1576291921,279716010,359,818,764,590,585,43949
Offshore,110,7,2005,2000,2005,1995,23302385,14876946,170,405,153,177,85,6369
Cruise,26,9,1993,1992,1994,1995,77737810,11197705,194,235,298,276,23,1711
Refrigerated bulk,4,1,1993,1993,1993,1993,105326553,106068131,1592,1592,1873,1873,36,2730
Ferry-pax only,14,1,2012,2012,2012,2012,5469994,940887,1561,1561,2312,2312,14,1083
Vehicle,1,1,2000,2000,2000,2000,13432544,4966826,1455,1455,1455,1455,3,219
