,exp_code_str3,exp_name,HS2,description,USD,tonne
0,090,Solomon Islands,44, Fuel wood,508971081.089,2194790.436699
1,090,Solomon Islands,26," Iron ore, concentrate, not iron pyrites,unagglomerate",51875217.307,1093062.826781
2,090,Solomon Islands,15," Lard, other pig fat and poultry fat, rendered",28659195.493,36401.137948999996
3,090,Solomon Islands,03," Ornamental fish, live",33001729.527999997,18528.445308
4,090,Solomon Islands,12, Soya beans,6204871.516,13071.723913
5,090,Solomon Islands,16," Sausages, similar products of meat, meat offal & bloo",52728935.69,8212.561672
6,090,Solomon Islands,23," Flour or meal, pellet of meat or offal for animal fee",776736.173,4694.550077
7,090,Solomon Islands,27," Anthracite, not agglomerated",1742730.0,3728.5
8,090,Solomon Islands,18," Cocoa beans, whole or broken, raw or roasted",1124742.832,757.441646
9,090,Solomon Islands,20," Cucumbers,gherkins, prepared or preserved by vinegar",584893.291,437.2863
10,090,Solomon Islands,05," Hair, human, unworked, waste of human hair",400414.51300000004,171.578082
11,090,Solomon Islands,40," Natural rubber latex, including prevulcanised",730478.1059999999,158.4537
12,090,Solomon Islands,08," Coconuts, fresh or dried",128997.72200000001,153.940263
13,090,Solomon Islands,76," Aluminium unwrought, not alloyed",80872.96,144.63953999999998
14,090,Solomon Islands,22, Mineral and aerated waters not sweetened or flavoured,320645.38699999993,125.946376
15,090,Solomon Islands,39, Polyethylene - specific gravity <0.94 in primary form,46564.56,79.514049
16,090,Solomon Islands,38, Artificial graphite,199293.77,77.308911
17,090,Solomon Islands,07," Potatoes seed, fresh or chilled",23879.515,42.71
18,090,Solomon Islands,87, Pedestrian controlled tractors,179098.641,19.766629000000002
19,090,Solomon Islands,96," Worked ivory, articles of ivory",63155.593,14.701953
20,090,Solomon Islands,04, Milk not concentrated nor sweetened < 1% fat,39020.824,13.790884
21,090,Solomon Islands,84, Nuclear reactors,652181.0140000001,13.356803
22,090,Solomon Islands,24," Tobacco, unmanufactured, not stemmed or stripped",2793.087,10.847885999999999
23,090,Solomon Islands,85, Electric motors of an output < 37.5 watts,190165.798,10.044661000000001
24,090,Solomon Islands,94," Seats, aircraft",66177.397,9.367794
25,090,Solomon Islands,86," Rail locomotives, externally electrically powered",66589.296,7.932055
26,090,Solomon Islands,74, Copper mattes,38269.416,7.37
27,090,Solomon Islands,72," Pig iron, non-alloy, <0.5% phosphorus",2398.674,7.35
28,090,Solomon Islands,64," Waterproof footwear (Wellingtons etc), metal toe cap",253616.706,7.339455
29,090,Solomon Islands,33, Essential oils of bergamot,11758.715,3.8708090000000004
30,090,Solomon Islands,28, Chlorine,3376.729,2.487268
31,090,Solomon Islands,61," Mens, boys overcoats, etc, of wool or hair, knit",105778.63900000001,2.431222
32,090,Solomon Islands,90," Optical fibres, except for telecommunications",152024.355,1.978607
33,090,Solomon Islands,48, Newsprint,6683.978,1.68
34,090,Solomon Islands,62," Mens, boys overcoats of wool or hair, not knit",117803.255,1.677065
35,090,Solomon Islands,69," Bricks, blocks and ceramic goods of siliceous earths",3883.201,1.6709370000000001
36,090,Solomon Islands,34," Soaps, for toilet use, solid",6783.643,1.495352
37,090,Solomon Islands,73, Sheet piling of iron or steel,8983.208,1.33939
38,090,Solomon Islands,89," Cruise ships, excursion boats, ferry boats",23533.733,1.1067609999999999
39,090,Solomon Islands,78, Lead refined unwrought,4371.4,1.08
40,090,Solomon Islands,30," Glands and other organs, dried, for therapeutic uses",13174.054,1.012569
41,090,Solomon Islands,70," Glass cullet, waste or scrap, glass in the mass",2870.507,0.780103
42,090,Solomon Islands,68," Stone setts, curbstones, flagstones (except slate)",831.613,0.641189
43,090,Solomon Islands,11, Wheat or meslin flour,621.302,0.521
44,090,Solomon Islands,88," Gliders, hang gliders",468166.50700000004,0.444133
45,090,Solomon Islands,71," Pearls natural, not permanently mounted or set",235133.089,0.26746099999999995
46,090,Solomon Islands,01," Horses, live pure-bred breeding",374.488,0.151753
47,090,Solomon Islands,82, Spades and shovels,2801.583,0.12485199999999999
48,090,Solomon Islands,25," Salt (sodium chloride) including solution, salt water",1308.994,0.09877
49,090,Solomon Islands,49," Brochures, leaflets and similar, in single sheets",518.302,0.06685200000000001
50,090,Solomon Islands,75, Nickel mattes,20.824,0.063101
51,090,Solomon Islands,83, Padlocks of base metal,599.259,0.016341
52,090,Solomon Islands,42," Saddlery and harness, of any material",2301.42,0.010965
53,090,Solomon Islands,37, X-ray plates and films,129.818,0.003
54,090,Solomon Islands,19," Infant foods of cereals, flour, starch or milk, retai",202.133,0.001903
55,090,Solomon Islands,91," Wrist-watch, precious metal, battery, with hands",95.446,0.000902
56,090,Solomon Islands,95," Rideable wheeled toys, dolls carriages",594.58,0.000859
57,090,Solomon Islands,29, Saturated acyclic hydrocarbons,843.039,0.000674
