dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,193,40,2003,2002,2001,2001,600784109,747679840,172,272,267,267,294,22263
Chemical tanker,73,21,2005,2007,2005,2005,786693686,1210391863,431,541,479,477,262,20286
Service - tug,228,9,2005,2008,2006,2005,100423704,95750481,118,309,196,199,80,6002
Vehicle,39,15,1994,1999,2001,2000,420706710,127470021,284,400,416,416,49,3786
Offshore,193,4,2010,2009,2010,2010,85230684,105964874,122,116,175,175,53,3999
Bulk carrier,19,16,1997,1998,2001,2001,176917726,303789351,361,482,482,478,27,2085
General cargo,95,36,1991,1989,1992,1992,239132070,317992588,326,426,343,343,81,6142
Oil tanker,24,14,2006,2009,2005,2005,282028531,475638639,378,325,306,294,88,6817
Liquefied gas tanker,83,7,2006,2006,2006,2006,450829881,518713043,466,658,687,694,231,17558
Miscellaneous - fishing,1,1,1993,1993,1993,1993,20397,26430,152,152,152,152,0,17
Service - other,6,3,2000,1995,2005,2005,33191727,30624933,296,446,1020,526,16,1211
