int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,25,24,2010,2010,2011,2011,869546423,1511206040,900,1230,1306,1316,76,5918
Cruise,16,12,2006,2006,2004,2005,497005644,49016601,379,464,467,447,128,9922
Container,180,53,2006,2008,2006,2006,1426195760,1758417994,324,456,482,488,333,25563
Chemical tanker,50,16,2008,2006,2007,2007,257684595,389433455,347,881,660,664,93,7124
General cargo,46,36,2003,2005,2008,2008,384852583,514626361,528,951,1396,1422,72,5526
Oil tanker,79,19,2007,2004,2006,2006,161314064,251444984,346,654,692,729,93,7085
Service - tug,29,20,2016,2015,2016,2016,8201004,6206429,831,1091,1166,1074,31,2359
Refrigerated bulk,3,3,1993,1993,1995,1995,16991508,19199181,993,1482,1471,1447,15,1129
Liquefied gas tanker,11,4,1992,1993,1993,1993,6434523,6968174,332,364,437,442,7,535
Ro-Ro,2,2,2004,2004,1995,1995,9534062,10250004,624,624,938,964,2,150
Ferry-pax only,1,1,1991,1991,1991,1991,64815,9352,218,218,218,218,7,558
Ferry-RoPax,1,1,1966,1966,1966,1966,118042,14567,12,12,12,12,1,80
Offshore,1,1,2016,2016,2016,2016,419641,87044,53,53,53,53,0,0
Vehicle,1,1,2005,2005,2005,2005,36271897,12525023,828,828,828,828,2,189
