int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,25,24,2010,2010,2010,2010,1055511664,1819484965,1589,1621,1585,1585,102,7903
Cruise,16,12,2006,2006,2003,2004,408099688,39334276,316,368,384,359,105,8166
Container,180,53,2006,2008,2007,2007,3130549886,3919464655,597,904,1057,1088,700,53885
Chemical tanker,50,16,2008,2006,2008,2008,326856148,496514253,602,919,838,847,101,7719
General cargo,46,36,2003,2005,2003,2003,656521124,827231888,1226,1924,2381,2286,135,10412
Oil tanker,79,19,2007,2004,2008,2007,113431547,174186032,279,460,487,505,59,4478
Service - tug,29,20,2016,2015,2015,2015,7805906,6174531,396,1404,1110,1068,17,1309
Refrigerated bulk,3,3,1993,1993,1991,1991,45466486,53211076,4553,4004,3936,4010,27,2036
Liquefied gas tanker,11,4,1992,1993,1994,1994,6974136,7478224,408,504,473,474,7,491
Ro-Ro,2,2,2004,2004,1995,1995,16890244,18153976,1110,1110,1661,1707,6,466
Ferry-pax only,1,1,1991,1991,1991,1991,99830,14405,335,335,335,335,0,16
Ferry-RoPax,1,1,1966,1966,1966,1966,59050372,7287144,5978,5978,5978,5978,21,1548
Offshore,1,1,2016,2016,2016,2016,175805,36467,22,22,22,22,0,0
Vehicle,1,1,2005,2005,2005,2005,53504593,18475633,1221,1221,1221,1221,4,322
