Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
South Africa,209,124,4768,6490,2003,2005,2006,2006,764,1917,1069,1145,69,289,236,198,38,92,74,76,962.0,73652,75066,5594084,16202000,19510927,26766,92438,114036
Angola,126,94,3350,3220,1998,2000,2008,2007,934,1388,2390,1947,94,306,113,109,88,453,778,675,765.7,52265,53269,3367944,11298279,12500255,26730,100269,136488
Singapore,72,50,21644,25753,2010,2010,2011,2011,6394,6412,6398,6408,448,464,447,456,19,40,22,22,2549.7,187614,191217,18417448,52687535,57954576,255798,822114,1004848
Benin,45,21,3647,4488,2008,2006,2012,2012,1912,1905,1917,1917,158,186,159,159,51,77,50,50,363.7,28066,28605,3675055,9645308,10850905,81668,235555,271779
Congo,26,26,496,627,2007,2007,2009,2009,1196,1236,1213,1215,137,180,117,119,45,155,77,75,79.6,6117,6235,850834,2208381,2807436,32724,98953,125147
Malaysia,25,16,7660,9448,2012,2012,2012,2012,6347,6358,6356,6355,404,417,407,408,24,45,33,35,811.2,62831,64037,7284648,19504076,22152558,291386,872740,1017224
Ghana,25,24,2083,1110,2006,2006,2009,2008,1949,2064,1968,2007,142,170,143,161,17,81,32,57,175.5,13514,13773,1003036,3572861,4229526,40121,141551,160577
Spain,24,24,1687,2587,2006,2006,2009,2009,4297,4474,4577,4569,368,399,373,373,67,200,69,68,279.0,21530,21943,1558195,5334738,6672492,64925,279231,349334
Portugal,24,8,3127,3964,2008,2007,2009,2009,4736,4762,4751,4752,356,364,358,358,52,51,58,58,503.7,38913,39660,1497884,5469227,8075353,62412,373424,509947
"Congo, Democratic Republic of the",24,11,119,138,1986,1987,1987,1987,1190,1247,1288,1281,108,137,128,127,136,243,278,282,121.9,9206,9383,416105,907564,1023476,17338,37824,41403
Nigeria,22,13,729,992,1987,1989,1997,1995,1955,2245,1858,1849,198,364,245,252,83,156,92,92,145.2,10617,10820,701074,1758329,2004092,31867,100696,122310
United States of America,21,20,5559,3909,2006,2006,2007,2006,6532,6779,6630,6824,510,527,484,554,9,66,41,90,403.9,31200,31799,2151968,9130544,11423807,102475,485713,585649
Côte d'Ivoire,14,14,303,375,1993,1993,1999,2000,2167,2296,2203,2165,210,283,349,286,147,199,190,196,107.7,8185,8342,736050,1622053,1863174,52575,131016,151010
Togo,13,13,387,522,2002,2002,2006,2006,2002,2109,2047,2040,245,280,260,260,51,61,45,44,79.0,6045,6161,537854,1490760,1728476,41373,124114,145114
Cameroon,12,12,250,325,2000,2000,2005,2005,1801,2095,1929,1923,174,235,245,242,69,226,101,89,81.8,6229,6349,451287,1104150,1366099,37607,105283,127736
