dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,24,18,2009,2010,1999,1999,489826351,916893241,172,379,713,772,42,3273
Service - tug,157,20,1988,1994,2005,2004,33668221,26280029,172,806,476,423,102,7623
Cruise,22,9,2004,1993,2008,2007,170620329,15357490,102,136,105,107,55,4296
Chemical tanker,117,32,2006,2009,2007,2007,382625282,599724428,283,283,301,295,286,21663
Liquefied gas tanker,106,7,2011,2005,2012,2012,827894722,781559284,495,446,814,791,202,12980
Container,46,9,2007,2004,2006,2006,114953213,143254191,169,527,297,308,33,2500
Oil tanker,168,8,2000,2003,2005,2005,2055822031,3831769609,211,413,850,878,545,41619
Service - other,26,6,1991,1998,1989,1989,35818318,45598857,464,1924,1148,1209,64,4821
General cargo,33,12,2004,2006,2005,2006,42832423,51994953,164,189,185,184,14,1057
Ro-Ro,108,2,1991,1999,1991,1991,143209235,146623113,161,117,177,177,43,3306
