dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,1730,346,2006,2006,2005,2005,9365738493,14381402115,832,1094,1344,1384,2178,165824
Container,2935,170,2001,2004,2002,2002,19532894601,24810964530,657,650,601,601,4475,343250
Bulk carrier,1273,339,2007,2008,2004,2004,22743539193,37486175009,854,1115,1456,1439,2928,225214
Offshore,81,23,2003,1995,1995,1995,229596999,272114562,576,2397,1581,1639,224,16807
Oil tanker,600,68,2006,2008,2007,2007,10050826403,17418468806,946,1441,2515,2547,2070,157793
Service - tug,298,85,2006,2007,2002,2001,525650143,504987991,316,1595,2054,2240,466,35007
Chemical tanker,700,93,2005,2006,2003,2003,6304830173,9957592036,864,873,1473,1486,2060,157436
Vehicle,25,10,2006,2005,2006,2006,945929420,302587922,788,816,798,799,61,4759
Liquefied gas tanker,545,42,1994,1997,1995,1995,1527183442,1604848642,712,902,1142,1084,941,71423
Service - other,20,13,2006,2006,2006,2007,154442284,145209061,534,3293,3137,7567,94,7082
Cruise,85,22,2003,2003,2006,2005,1861669989,198784114,289,411,351,358,419,32396
Ro-Ro,9,2,2007,2002,2007,2007,10974766,18951268,825,517,996,1306,54,4083
Refrigerated bulk,5,3,1987,1987,1989,1989,11032528,13383407,341,465,486,479,9,678
Ferry-pax only,1,1,2018,2018,2018,2018,103272,14564,265,265,265,265,0,3
Miscellaneous - fishing,7,3,2011,2003,2014,2015,31375983,11663492,7996,5681,7107,6299,27,2031
Ferry-RoPax,1,1,2018,2018,2018,2018,1026000,297540,1282,1282,1282,1282,1,97
