int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,7271,891,2006,2007,2008,2008,215103268328,251622456328,716,1051,1151,1135,30553,2357483
General cargo,1990,900,2006,2006,2006,2006,24286008103,33680018610,1096,2194,1793,1786,4922,376621
Bulk carrier,2484,1604,2008,2009,2009,2010,124874923110,212238779960,1272,1929,1885,1912,10816,836240
Offshore,144,56,2008,2005,1986,1987,1269139269,1439161714,588,2953,3237,3067,437,33039
Vehicle,79,46,2006,2006,2007,2007,4950302526,1585315613,1241,1377,1457,1444,319,24716
Chemical tanker,906,325,2006,2007,2007,2007,9633047814,15302108567,799,1141,1167,1167,2535,194320
Oil tanker,481,182,2008,2008,2007,2007,13030848720,22708706942,832,1494,1622,1648,2062,158169
Service - tug,290,157,2009,2008,2008,2008,561551090,516671077,708,1938,1490,1579,474,35649
Liquefied gas tanker,514,114,1998,2001,2003,2003,3383237656,3664826199,737,1236,1156,1158,1175,89265
Service - other,31,27,2005,2004,2006,2007,220174375,119887872,1850,2500,1853,1548,175,13180
Refrigerated bulk,21,17,1988,1988,1987,1987,282069198,327406367,2888,3335,3170,3125,210,15918
Cruise,146,46,2003,2002,2005,2004,7756871017,787324955,608,931,730,729,1640,127016
Ferry-pax only,2,2,2004,2004,2015,2015,944435,133516,1250,1250,1373,1362,1,89
Ro-Ro,9,6,1995,1996,1993,1995,64193094,49031430,924,2555,766,1055,37,2823
Miscellaneous - fishing,9,8,2007,2008,2014,2012,12062184,6766785,1301,2470,1567,1618,17,1307
Ferry-RoPax,3,3,1983,1983,1968,1971,62637516,8254621,3754,3566,5551,5322,44,3293
