Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,538,72,7959,9976,1999,2002,2000,2000,952,972,1013,1013,83,94,111,111,15,18,32,33,1711.9,131263,133784,9189647,35357739,40304974,17081,70880,86363
Oil tanker,190,33,5545,8724,2007,2006,2008,2008,1072,1392,1638,1762,107,286,704,813,31,76,64,63,914.9,70511,71865,6672284,13012649,14485354,35117,101346,122349
Chemical tanker,147,54,1517,2265,2009,2009,2009,2009,1068,1360,1300,1290,118,167,206,202,28,38,65,64,457.7,34982,35654,2887058,8636398,10528732,19640,66352,81263
General cargo,109,72,1072,1454,2002,2003,2002,2002,941,1262,1085,1091,95,173,232,230,46,100,107,111,262.2,20044,20429,1259011,3946141,5586424,11551,52164,68358
Bulk carrier,94,84,4245,7178,2007,2008,2009,2009,1180,1897,1893,1875,145,228,357,355,50,187,172,162,431.0,33295,33934,3151041,7034567,9193179,33522,119732,144939
Service - tug,51,17,124,124,2010,2007,2008,2007,968,1683,1433,1548,205,485,1038,1112,44,270,148,150,93.2,7020,7155,3181306,7522832,10072665,62379,161073,217475
Vehicle,36,18,2135,672,2006,2007,2006,2006,1085,2032,1631,1607,78,121,143,145,18,53,100,91,163.1,12612,12854,680001,2998074,3472075,18889,71797,77269
Service - other,10,8,95,116,2007,2005,2002,1991,3580,3386,2539,3439,584,693,953,1405,80,216,220,168,42.7,3218,3280,807072,1655936,1784371,80707,179587,202779
Cruise,8,6,174,19,2003,2001,2004,2002,609,634,654,651,54,54,56,55,12,13,12,12,41.0,3165,3226,49723,411561,548845,6215,42925,51032
Liquefied gas tanker,5,5,34,33,1998,1998,2000,2001,1111,1517,1457,1424,103,152,190,182,73,61,70,68,11.5,877,894,25105,72734,80322,5021,27490,36150
Ro-Ro,1,1,10,8,2000,2000,2000,2000,1109,1109,1109,1109,97,97,97,97,6,6,6,6,2.6,198,201,8551,15757,18372,8551,20099,21335
