Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Singapore,558,158,11901,14804,2004,2006,2005,2004,1265,1625,1445,1439,104,169,167,157,47,90,82,78,2532.6,194665,198403,15760647,47448233,55045491,28245,98942,120217
Malaysia,322,132,6427,8952,2001,2005,2002,2003,1122,1366,1303,1327,99,144,118,120,53,127,111,122,1204.9,92523,94299,7562396,23850903,28116512,23486,88007,107783
Indonesia,83,39,811,1192,2002,2003,2004,2004,1260,1811,1531,1513,142,186,248,237,47,137,162,150,241.1,18444,18798,2168090,4702992,5786118,26122,80386,100088
Thailand,70,40,1556,2320,2004,2001,2003,2002,1305,2329,2358,2841,202,255,361,382,44,274,280,287,282.4,21641,22056,2609828,6883105,8740983,37283,121989,153055
India,41,28,1113,1688,2001,2002,2001,2001,1453,1751,2020,2077,106,137,158,149,100,294,555,577,214.0,16431,16747,1059661,3462130,4650860,25845,118667,152999
Bangladesh,24,21,854,1367,2002,2003,2004,2004,1116,1616,1648,1701,166,398,885,950,44,152,231,244,125.1,9639,9824,642403,1611499,2035186,26767,97945,119298
Sri Lanka,17,17,543,313,2008,2008,2008,2008,1466,1770,1404,1547,101,159,117,148,47,54,43,56,87.0,6715,6844,401455,1469329,1763876,23615,87631,103774
China,17,17,1305,1394,2005,2005,2008,2008,3936,3952,3780,3736,279,335,431,497,41,94,105,120,185.6,14319,14594,1007293,3462130,4456217,59253,257384,325625
Japan,5,5,668,203,1999,1999,2004,2004,4117,4160,4050,4077,290,354,282,294,47,102,55,62,55.8,4305,4388,401944,1353824,1655376,80389,255675,304114
"Taiwan, Province of China",4,4,146,241,2004,2004,2005,2004,3663,7545,4004,3836,407,1026,1257,1146,653,687,641,640,33.3,2543,2591,303576,598093,726808,75894,227832,280848
Viet Nam,4,4,83,144,2010,2010,2012,2012,1865,1846,1761,1758,262,258,229,226,116,103,120,120,10.6,809,825,92311,211304,268299,23078,79363,97839
United Arab Emirates,3,3,187,266,2008,2008,2011,2011,3418,3365,3478,3509,292,265,249,253,170,152,149,155,26.2,2027,2066,189529,553561,655592,63176,224842,267303
Iran (Islamic Republic of),3,3,219,303,2010,2010,2010,2010,3427,3409,3414,3410,222,233,230,232,61,48,52,49,30.0,2323,2368,212797,733961,848216,70932,270681,323966
Hong Kong,2,2,90,111,2010,2010,2010,2010,2496,2496,2496,2496,180,180,179,179,30,30,29,29,18.5,1425,1452,103160,400177,456629,51580,215974,263536
Russian Federation,2,2,198,325,2003,2003,2001,2001,5819,5819,5821,5808,508,508,528,527,122,122,114,115,22.8,1764,1797,133238,369878,574864,66619,313855,406779
Philippines,1,1,101,31,2010,2010,2010,2010,2757,2757,2757,2757,197,197,197,197,21,21,21,21,7.0,539,549,31305,138023,159845,31305,118992,128061
"Tanzania, United Republic of",1,1,267,83,2004,2004,2004,2004,4517,4517,4517,4517,278,278,278,278,6,6,6,6,14.9,1157,1180,84025,370458,429028,84025,319377,343720
Namibia,1,1,134,184,2012,2012,2012,2012,7357,7357,7357,7357,651,651,651,651,35,35,35,35,23.1,1781,1815,69428,253504,374301,69428,415406,567277
El Salvador,1,1,3,5,2015,2015,2015,2015,77,77,77,77,65,65,65,65,277,277,277,277,2.3,177,181,992,2913,3328,992,4535,5542
Kenya,1,1,201,67,2008,2008,2008,2008,3871,3871,3871,3871,215,215,215,215,29,29,29,29,16.8,1304,1329,68156,300496,348005,68156,259062,278807
