Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,528,72,10307,12917,1999,2002,2000,1999,1217,1376,1339,1339,94,104,113,113,44,44,46,46,2268.9,174084,177426,11903521,45924358,52318449,22545,93689,114137
Oil tanker,187,32,4390,6290,2007,2006,2009,2008,1159,1269,1384,1374,118,150,194,194,60,71,94,93,950.4,73312,74719,7022703,13891859,15577835,37555,109195,131215
Chemical tanker,141,54,1709,2544,2009,2009,2009,2009,1234,1803,1510,1492,137,172,231,222,48,100,156,152,459.2,35161,35836,3442809,10089666,12284052,24417,80844,98669
General cargo,108,72,2464,3397,2002,2003,2003,2003,1505,2228,2495,2552,144,216,314,304,80,158,317,328,503.5,38613,39355,2292748,7445988,10652087,21229,102716,136120
Bulk carrier,88,79,4474,7631,2007,2007,2007,2007,1697,2427,2137,2134,150,287,408,404,194,268,272,271,511.2,39497,40255,3602166,7827735,10107629,40934,141037,169724
Service - tug,48,18,112,105,2010,2007,2008,2007,1209,1684,1353,1375,240,454,567,528,38,209,183,185,74.6,5607,5714,2688853,6358327,8513457,56018,144648,195299
Vehicle,36,18,2792,881,2006,2007,2007,2007,1305,1955,2133,2108,89,128,186,184,36,44,40,40,222.0,17186,17516,892371,3934401,4556437,24788,94220,101401
Service - other,10,8,222,133,2002,2000,2011,2007,2423,3498,6608,3863,328,445,1159,937,125,258,650,480,48.1,3663,3734,927711,1903460,2051094,92771,206431,233090
Cruise,8,6,273,30,2003,2001,2004,2002,1157,1110,1026,1036,77,79,81,82,48,55,53,54,75.6,5847,5960,79177,655355,873962,9897,68353,81262
Liquefied gas tanker,6,6,66,66,1997,1997,1998,1997,1801,2867,2486,2402,172,296,508,465,14,20,29,27,20.4,1561,1591,50175,145366,160531,8363,45785,60208
