dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Ro-Ro,15,2,1983,1994,1980,1981,6126743,4219532,113,135,118,119,28,2117
Chemical tanker,3,2,2012,2010,2014,2015,64812399,107627223,832,615,724,737,9,675
General cargo,19,5,2011,2009,2009,2010,38287681,48795206,146,315,303,320,19,1428
Vehicle,1,1,2004,2004,2004,2004,19972039,6332638,332,332,332,332,1,74
Bulk carrier,8,2,2015,2015,2015,2015,19351982,30279527,593,719,841,841,40,3004
Liquefied gas tanker,1,1,2002,2002,2002,2002,2606763,3209117,449,449,449,449,1,89
Container,4,4,2006,2006,2003,2004,25107621,28274424,108,211,198,190,5,395
Service - other,13,2,1989,1986,1993,1989,3073816,919805,202,279,365,269,9,652
Service - tug,1,1,1981,1981,1981,1981,21554,11149,186,186,186,186,0,18
Oil tanker,5,3,2005,2003,2005,2005,126421452,221235450,468,575,898,901,17,1287
