int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,274,251,2010,2010,2010,2010,25108625357,43616557992,2819,3102,3120,3127,2315,179208
Vehicle,157,106,2008,2008,2009,2009,17296157654,5779106680,2563,1904,1919,1928,1172,90748
Container,538,118,2003,2004,2005,2005,37677817379,45973699706,2453,2312,2239,2223,5775,446942
Chemical tanker,87,59,2006,2007,2007,2007,6711654228,10955325065,2790,2714,2949,2944,978,75746
General cargo,117,81,2006,2007,2007,2007,4259680133,5727504401,2518,2628,2823,2791,642,49362
Oil tanker,94,74,2009,2009,2012,2012,13415238846,23396254839,3063,2980,3096,3088,1369,105984
Liquefied gas tanker,27,8,2013,2011,2015,2014,843637352,957815902,1480,2707,2301,2313,215,16445
Ro-Ro,58,9,2002,2004,2011,2011,2521637923,2215835572,390,1884,1331,1307,351,27070
Service - tug,12,7,2002,2001,2007,2007,17299479,12905429,648,2209,2498,2303,34,2583
Service - other,7,7,1992,1992,1985,1985,20116742,11095291,657,1358,2156,2218,23,1738
Ferry-RoPax,2,2,2014,2014,2014,2014,327320,195278,130,130,131,131,5,394
Offshore,6,6,1999,1999,1999,1995,11874683,9115209,1923,3315,2992,2279,31,2353
Miscellaneous - fishing,4,3,1985,1983,1982,1981,3301649,1599552,1117,1885,2052,1586,15,1148
Cruise,4,3,2002,2002,2001,2001,45352040,4386747,160,290,348,352,16,1263
