Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
China,130,61,8847,15023,1997,1998,1997,1997,3270,3471,3456,3472,328,379,401,406,121,136,145,145,953.1,73528,74939,5276020,15608583,21848974,40585,189308,241519
Papua New Guinea,84,50,811,1098,2005,2005,2005,2007,631,1120,700,724,52,113,128,140,30,90,74,69,204.4,15683,15984,841052,2950091,3605406,10013,42505,52472
Fiji,62,45,1032,1325,2008,2009,2008,2008,1585,8526,1413,1259,224,902,260,178,52,736,196,121,285.5,21729,22147,1130128,3639407,4189553,18228,67019,80410
Vanuatu,47,24,566,651,2007,2008,2009,2010,717,740,682,682,55,80,59,58,16,20,17,18,104.1,8013,8167,399578,1467162,1777654,8502,37473,47053
Australia,23,7,502,503,2008,2007,2006,2008,1189,1361,1354,1494,89,106,119,132,11,30,19,20,98.4,7578,7724,432179,1827870,2189415,18790,85519,105230
New Caledonia,20,9,381,495,2012,2011,2012,2012,938,963,955,960,69,85,84,87,20,22,27,27,73.7,5684,5793,337500,1351753,1560838,16875,75280,92347
"Korea, Republic of",15,10,972,1631,2006,2004,2010,2011,3435,5101,3071,2967,362,557,377,358,89,147,113,111,139.2,10715,10921,801817,2504490,3053560,53454,213617,263017
"Taiwan, Province of China",13,12,609,993,1995,1995,1995,1995,2958,3078,3095,3090,301,307,316,316,25,35,38,38,59.7,4598,4686,498234,1355280,2026895,38326,166981,214711
New Zealand,11,5,453,419,2009,2008,2009,2010,1964,2622,2298,2625,143,243,258,343,25,48,60,34,62.0,4779,4870,308492,1162603,1411451,28045,117936,142216
Tuvalu,11,9,190,218,2002,1999,2004,2004,6175,8578,5983,5871,555,707,739,981,119,364,762,623,86.2,6497,6621,1345349,2979774,3384610,122304,285111,335220
Micronesia (Federated States of),11,11,220,223,2003,2003,2009,2008,7680,8954,6537,6004,824,888,1451,1447,117,196,313,290,69.8,5250,5351,1468104,3254132,3697955,133464,312634,369122
Singapore,11,11,689,1093,2004,2004,2003,2004,3550,4354,3859,3786,308,484,508,459,10,10,10,10,121.0,9275,9453,664725,1717024,2424377,60430,228038,285853
Philippines,9,8,136,210,2004,2005,2004,2004,2728,4931,3594,3565,363,711,811,815,62,60,62,66,45.8,3491,3558,595085,1498304,1881231,66121,200220,244023
Nauru,9,2,61,80,2001,2000,2000,2000,724,2133,986,1079,80,279,210,242,135,81,114,102,14.9,1137,1159,138069,302023,390603,15341,57774,74277
Thailand,7,3,580,730,1994,1994,1994,1994,4542,5459,4997,4990,295,367,328,327,33,92,39,39,125.6,9685,9871,399974,1251608,1739062,57139,263502,347443
Marshall Islands,7,7,140,137,2001,2001,2005,2004,2033,7928,3705,2642,522,521,680,511,127,800,1645,1174,48.0,3620,3690,592765,1275787,1471025,84681,204253,242448
Malaysia,6,5,81,133,1998,1999,1995,1995,3913,4193,3809,3852,498,652,511,537,463,779,233,268,80.3,6050,6166,239205,407295,435590,39868,117932,151529
Japan,4,4,109,174,2006,2006,2001,2000,3774,3847,3664,3644,387,397,414,409,8,28,35,34,17.9,1377,1404,201724,574448,798794,50431,200700,253783
Indonesia,4,4,183,290,1999,1999,2001,2002,3660,3643,3657,3671,500,493,486,490,14,19,15,15,25.6,1975,2013,244371,663335,893386,61093,224212,277594
Viet Nam,4,4,89,125,1994,1994,1995,1996,3648,4099,4041,4145,625,594,610,634,64,75,58,52,39.9,3045,3104,215255,554858,706326,53814,168232,203120
Kiribati,2,2,32,29,2012,2012,2012,2012,7056,7056,6967,6671,982,982,1089,1037,76,76,74,75,8.3,623,635,200554,444866,505768,100277,235997,279760
Northern Mariana Islands,1,1,22,12,1989,1989,1989,1989,1732,1732,1732,1732,122,122,122,122,97,97,97,97,6.8,526,536,84306,172977,186393,84306,187595,211821
Hong Kong,1,1,51,72,2009,2009,2009,2009,7862,7862,7862,7862,721,721,721,721,7,7,7,7,9.8,754,768,124087,363995,501974,124087,497125,626818
American Samoa,1,1,12,5,2008,2008,2008,2008,7000,7000,7000,7000,769,769,769,769,400,400,400,400,1.8,139,141,34631,76818,87334,34631,81502,96615
French Polynesia,1,1,90,150,2013,2013,2013,2013,2995,2995,2995,2995,224,224,224,224,44,44,44,44,12.2,942,960,28886,211542,243904,28886,249446,306642
