Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Honiara,266,147,6657,8691,2006,2005,2007,2007,1231,3616,1899,1966,147,507,293,286,32,82,60,57,1255.8,96207,98054,7068933,22016068,26258980,26575,99266,121041
Noro,161,81,6872,11118,2000,2001,1998,1998,3180,2796,2888,2975,278,281,334,337,12,50,143,143,737.5,56833,57924,5123766,15267314,22434886,31825,149255,192011
Rannell Island,24,7,3507,6578,1999,2000,1999,1999,3700,3608,3610,3611,324,317,327,326,311,288,284,284,263.4,20402,20794,1339733,3932501,4492415,55822,255082,311744
Gizo,7,6,153,170,2000,2001,1997,1998,386,1295,811,1383,39,142,381,516,6,88,292,407,23.6,1804,1838,85803,367039,516713,12258,68113,89922
Ringgi Cove,6,4,91,154,2007,2006,2007,2007,2096,2623,2247,2238,178,236,221,221,296,283,278,276,25.4,1940,1977,122896,389172,550902,20483,95217,124228
Aola Bay,4,4,104,165,1998,1998,1996,1996,6543,9929,11231,11010,1142,1504,2207,2155,34,36,33,33,52.1,3981,4058,530698,256913,294964,132675,373936,483756
Yandina,2,2,39,51,1990,1990,1989,1989,4257,4257,4248,4251,293,293,293,293,17,17,18,18,18.1,1382,1409,151376,330764,372574,75688,161290,174145
Choiseul Bay,2,2,16,21,2000,2000,2018,2018,2745,2745,3419,4674,1541,1541,3046,3063,1300,1300,2571,2586,21.2,1597,1628,76928,190124,233702,38464,111411,136589
Viru Harbour,2,2,15,24,2008,2008,2002,2002,1706,1706,2185,2180,142,142,202,202,156,156,36,37,5.1,393,400,52678,144040,190766,26339,93406,116473
Kirakira,2,2,113,192,1994,1994,1987,1987,3594,3594,3380,3512,177,177,297,298,347,347,434,436,10.8,831,847,78850,218893,340203,39425,185738,240730
Lever Harbour,1,1,65,106,2002,2002,2002,2002,3738,3738,3738,3738,498,498,498,498,333,333,333,333,7.0,535,545,43578,120975,188019,43578,205303,266088
