Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Bulk carrier,137,62,10051,17313,1997,1998,1997,1997,3298,3197,3432,3437,301,323,342,342,13,73,202,206,860.4,66451,67727,5686164,16007007,23194085,41505,194097,248128
General cargo,97,37,1975,2468,2002,2004,2002,2002,1306,1959,1736,1747,151,186,233,238,41,92,84,96,337.1,25915,26413,1775235,5706132,8116275,18301,87477,114786
Container,92,24,1079,1391,2009,2008,2009,2009,720,807,804,813,60,69,92,94,29,31,29,30,258.7,19865,20247,1266288,4800656,5414051,13764,55340,66822
Miscellaneous - fishing,56,46,346,334,2008,2008,2011,2011,6139,7338,6478,6415,1122,1199,1265,1222,14,69,201,226,164.8,12377,12614,2351239,5215501,5929496,41986,98813,117137
Chemical tanker,31,26,2393,3988,2013,2014,2013,2013,3245,2772,2752,2744,258,333,284,280,29,152,47,44,303.5,23449,23900,859483,5835594,6747432,27725,221909,272763
Refrigerated bulk,16,13,183,211,1988,1988,1988,1988,1632,2372,2727,2816,258,296,346,341,138,253,315,317,172.3,13037,13287,627005,1370037,1543218,39188,83509,90164
Oil tanker,15,11,835,1302,2001,2001,2005,2005,3700,5162,3257,3263,334,655,587,584,31,134,53,58,192.5,14778,15061,1652271,2616063,2955021,110151,324063,394125
Liquefied gas tanker,13,2,44,47,2012,2013,2013,2013,728,1144,887,898,63,100,93,95,34,40,39,39,27.1,2071,2110,35405,102575,113275,2723,14911,19608
Cruise,10,9,149,22,1996,1996,1996,1995,468,524,548,548,41,50,53,52,9,8,8,8,35.3,2725,2777,90762,481679,606070,9076,41865,48009
Service - other,5,5,43,20,1995,1995,1995,1994,1822,2153,2247,2246,277,342,371,348,70,101,65,69,19.7,1493,1522,141075,289454,311905,28215,62783,70891
Vehicle,4,3,532,173,2006,2005,2007,2007,3054,3099,3153,3177,186,209,239,249,70,86,83,77,45.5,3519,3587,175652,774437,896877,43913,166913,179635
Service - tug,1,1,1,1,2008,2008,2008,2008,2863,2863,2863,2863,899,899,899,899,37,37,37,37,3.0,224,228,14660,34667,46418,14660,37856,51112
